transcripts;transcript_4-34_ppan;transcript_5-34_ptro;transcript_4-9_ppan;transcript_5-9_ptro;transcript_6-9_hsap;transcript_5-25_ptro;transcript_4-25_ppan;transcript_4-0_ppan;transcript_5-0_ptro;transcript_8-0_pabe;transcript_7-0_ggor;transcript_6-0_hsap;transcript_4-29_ppan;transcript_5-29_ptro;transcript_4-10_ppan;transcript_4-17_ppan;transcript_6-10_hsap;transcript_5-10_ptro;transcript_5-17_ptro;transcript_4-13_ppan;transcript_4-31_ppan;transcript_6-13_hsap;transcript_5-13_ptro;transcript_5-31_ptro;transcript_5-36_ptro;transcript_4-36_ppan;transcript_4-18_ppan;transcript_5-18_ptro;transcript_5-30_ptro;transcript_4-30_ppan;transcript_5-24_ptro;transcript_4-24_ppan;transcript_4-26_ppan;transcript_5-26_ptro;transcript_4-33_ppan;transcript_5-33_ptro;transcript_4-19_ppan;transcript_5-19_ptro
transcript_4-34_ppan;1.0;1.0;0.995;0.995;0.995;0.793;0.793;0.863;0.863;0.863;0.863;0.863;0.867;0.867;0.798;0.578;0.798;0.798;0.578;0.794;0.794;0.794;0.794;0.794;0.798;0.798;0.426;0.426;0.428;0.428;0.791;0.791;0.576;0.576;0.571;0.571;0.371;0.371
transcript_5-34_ptro;1.0;1.0;0.995;0.995;0.995;0.793;0.793;0.863;0.863;0.863;0.863;0.863;0.867;0.867;0.798;0.578;0.798;0.798;0.578;0.794;0.794;0.794;0.794;0.794;0.798;0.798;0.426;0.426;0.428;0.428;0.791;0.791;0.576;0.576;0.571;0.571;0.371;0.371
transcript_4-9_ppan;0.995;0.995;1.0;1.0;1.0;0.79;0.79;0.867;0.867;0.867;0.867;0.867;0.871;0.871;0.795;0.576;0.795;0.795;0.576;0.79;0.79;0.79;0.79;0.79;0.794;0.794;0.424;0.424;0.426;0.426;0.788;0.788;0.573;0.573;0.569;0.569;0.369;0.369
transcript_5-9_ptro;0.995;0.995;1.0;1.0;1.0;0.79;0.79;0.867;0.867;0.867;0.867;0.867;0.871;0.871;0.795;0.576;0.795;0.795;0.576;0.79;0.79;0.79;0.79;0.79;0.794;0.794;0.424;0.424;0.426;0.426;0.788;0.788;0.573;0.573;0.569;0.569;0.369;0.369
transcript_6-9_hsap;0.995;0.995;1.0;1.0;1.0;0.79;0.79;0.867;0.867;0.867;0.867;0.867;0.871;0.871;0.795;0.576;0.795;0.795;0.576;0.79;0.79;0.79;0.79;0.79;0.794;0.794;0.424;0.424;0.426;0.426;0.788;0.788;0.573;0.573;0.569;0.569;0.369;0.369
transcript_5-25_ptro;0.793;0.793;0.79;0.79;0.79;1.0;1.0;0.749;0.749;0.749;0.749;0.749;0.753;0.753;0.994;0.725;0.994;0.994;0.725;0.988;0.988;0.988;0.988;0.988;0.982;0.982;0.54;0.54;0.534;0.534;0.982;0.982;0.719;0.719;0.714;0.714;0.472;0.472
transcript_4-25_ppan;0.793;0.793;0.79;0.79;0.79;1.0;1.0;0.749;0.749;0.749;0.749;0.749;0.753;0.753;0.994;0.725;0.994;0.994;0.725;0.988;0.988;0.988;0.988;0.988;0.982;0.982;0.54;0.54;0.534;0.534;0.982;0.982;0.719;0.719;0.714;0.714;0.472;0.472
transcript_4-0_ppan;0.863;0.863;0.867;0.867;0.867;0.749;0.749;1.0;1.0;1.0;1.0;1.0;0.995;0.995;0.754;0.552;0.754;0.754;0.552;0.75;0.75;0.75;0.75;0.75;0.745;0.745;0.412;0.412;0.407;0.407;0.745;0.745;0.547;0.547;0.543;0.543;0.361;0.361
transcript_5-0_ptro;0.863;0.863;0.867;0.867;0.867;0.749;0.749;1.0;1.0;1.0;1.0;1.0;0.995;0.995;0.754;0.552;0.754;0.754;0.552;0.75;0.75;0.75;0.75;0.75;0.745;0.745;0.412;0.412;0.407;0.407;0.745;0.745;0.547;0.547;0.543;0.543;0.361;0.361
transcript_8-0_pabe;0.863;0.863;0.867;0.867;0.867;0.749;0.749;1.0;1.0;1.0;1.0;1.0;0.995;0.995;0.754;0.552;0.754;0.754;0.552;0.75;0.75;0.75;0.75;0.75;0.745;0.745;0.412;0.412;0.407;0.407;0.745;0.745;0.547;0.547;0.543;0.543;0.361;0.361
transcript_7-0_ggor;0.863;0.863;0.867;0.867;0.867;0.749;0.749;1.0;1.0;1.0;1.0;1.0;0.995;0.995;0.754;0.552;0.754;0.754;0.552;0.75;0.75;0.75;0.75;0.75;0.745;0.745;0.412;0.412;0.407;0.407;0.745;0.745;0.547;0.547;0.543;0.543;0.361;0.361
transcript_6-0_hsap;0.863;0.863;0.867;0.867;0.867;0.749;0.749;1.0;1.0;1.0;1.0;1.0;0.995;0.995;0.754;0.552;0.754;0.754;0.552;0.75;0.75;0.75;0.75;0.75;0.745;0.745;0.412;0.412;0.407;0.407;0.745;0.745;0.547;0.547;0.543;0.543;0.361;0.361
transcript_4-29_ppan;0.867;0.867;0.871;0.871;0.871;0.753;0.753;0.995;0.995;0.995;0.995;0.995;1.0;1.0;0.757;0.554;0.757;0.757;0.554;0.753;0.753;0.753;0.753;0.753;0.749;0.749;0.414;0.414;0.409;0.409;0.748;0.748;0.55;0.55;0.545;0.545;0.362;0.362
transcript_5-29_ptro;0.867;0.867;0.871;0.871;0.871;0.753;0.753;0.995;0.995;0.995;0.995;0.995;1.0;1.0;0.757;0.554;0.757;0.757;0.554;0.753;0.753;0.753;0.753;0.753;0.749;0.749;0.414;0.414;0.409;0.409;0.748;0.748;0.55;0.55;0.545;0.545;0.362;0.362
transcript_4-10_ppan;0.798;0.798;0.795;0.795;0.795;0.994;0.994;0.754;0.754;0.754;0.754;0.754;0.757;0.757;1.0;0.732;1.0;1.0;0.732;0.994;0.994;0.994;0.994;0.994;0.989;0.989;0.546;0.546;0.54;0.54;0.988;0.988;0.725;0.725;0.72;0.72;0.478;0.478
transcript_4-17_ppan;0.578;0.578;0.576;0.576;0.576;0.725;0.725;0.552;0.552;0.552;0.552;0.552;0.554;0.554;0.732;1.0;0.732;0.732;1.0;0.736;0.736;0.736;0.736;0.736;0.73;0.73;0.746;0.746;0.738;0.738;0.73;0.73;0.991;0.991;0.984;0.984;0.654;0.654
transcript_6-10_hsap;0.798;0.798;0.795;0.795;0.795;0.994;0.994;0.754;0.754;0.754;0.754;0.754;0.757;0.757;1.0;0.732;1.0;1.0;0.732;0.994;0.994;0.994;0.994;0.994;0.989;0.989;0.546;0.546;0.54;0.54;0.988;0.988;0.725;0.725;0.72;0.72;0.478;0.478
transcript_5-10_ptro;0.798;0.798;0.795;0.795;0.795;0.994;0.994;0.754;0.754;0.754;0.754;0.754;0.757;0.757;1.0;0.732;1.0;1.0;0.732;0.994;0.994;0.994;0.994;0.994;0.989;0.989;0.546;0.546;0.54;0.54;0.988;0.988;0.725;0.725;0.72;0.72;0.478;0.478
