;transcript_3-17_FBgn0010417;transcript_3-23_FBgn0010417;transcript_3-39_FBgn0010417;transcript_3-43_FBgn0010417;transcript_3-50_FBgn0010417;transcript_7-17_ENSMUSG00000036980;transcript_7-23_ENSMUSG00000036980;transcript_8-17_ENSRNOG00000001355;transcript_8-23_ENSRNOG00000001355;transcript_10-17_ENSG00000106290;transcript_10-23_ENSG00000106290;transcript_11-17_ENSPTRG00000019474;transcript_11-23_ENSPTRG00000019474;transcript_12-17_ENSDARG00000102998;transcript_12-23_ENSDARG00000102998;transcript_12-84_ENSDARG00000102998
transcript_3-17_FBgn0010417;1.0;0.989;0.989;0.978;0.99;1.0;0.989;1.0;0.989;1.0;0.989;1.0;0.989;1.0;0.989;0.989
transcript_3-23_FBgn0010417;0.989;1.0;0.978;0.989;0.979;0.989;1.0;0.989;1.0;0.989;1.0;0.989;1.0;0.989;1.0;0.978
transcript_3-39_FBgn0010417;0.989;0.978;1.0;0.989;0.979;0.989;0.978;0.989;0.978;0.989;0.978;0.989;0.978;0.989;0.978;0.978
transcript_3-43_FBgn0010417;0.978;0.989;0.989;1.0;0.968;0.978;0.989;0.978;0.989;0.978;0.989;0.978;0.989;0.978;0.989;0.967
transcript_3-50_FBgn0010417;0.99;0.979;0.979;0.968;1.0;0.99;0.979;0.99;0.979;0.99;0.979;0.99;0.979;0.99;0.979;0.979
transcript_7-17_ENSMUSG00000036980;1.0;0.989;0.989;0.978;0.99;1.0;0.989;1.0;0.989;1.0;0.989;1.0;0.989;1.0;0.989;0.989
transcript_7-23_ENSMUSG00000036980;0.989;1.0;0.978;0.989;0.979;0.989;1.0;0.989;1.0;0.989;1.0;0.989;1.0;0.989;1.0;0.978
transcript_8-17_ENSRNOG00000001355;1.0;0.989;0.989;0.978;0.99;1.0;0.989;1.0;0.989;1.0;0.989;1.0;0.989;1.0;0.989;0.989
transcript_8-23_ENSRNOG00000001355;0.989;1.0;0.978;0.989;0.979;0.989;1.0;0.989;1.0;0.989;1.0;0.989;1.0;0.989;1.0;0.978
transcript_10-17_ENSG00000106290;1.0;0.989;0.989;0.978;0.99;1.0;0.989;1.0;0.989;1.0;0.989;1.0;0.989;1.0;0.989;0.989
transcript_10-23_ENSG00000106290;0.989;1.0;0.978;0.989;0.979;0.989;1.0;0.989;1.0;0.989;1.0;0.989;1.0;0.989;1.0;0.978
transcript_11-17_ENSPTRG00000019474;1.0;0.989;0.989;0.978;0.99;1.0;0.989;1.0;0.989;1.0;0.989;1.0;0.989;1.0;0.989;0.989
transcript_11-23_ENSPTRG00000019474;0.989;1.0;0.978;0.989;0.979;0.989;1.0;0.989;1.0;0.989;1.0;0.989;1.0;0.989;1.0;0.978
transcript_12-17_ENSDARG00000102998;1.0;0.989;0.989;0.978;0.99;1.0;0.989;1.0;0.989;1.0;0.989;1.0;0.989;1.0;0.989;0.989
transcript_12-23_ENSDARG00000102998;0.989;1.0;0.978;0.989;0.979;0.989;1.0;0.989;1.0;0.989;1.0;0.989;1.0;0.989;1.0;0.978
transcript_12-84_ENSDARG00000102998;0.989;0.978;0.978;0.967;0.979;0.989;0.978;0.989;0.978;0.989;0.978;0.989;0.978;0.989;0.978;1.0
