transcripts;transcript_4-3_ppan;transcript_4-24_ppan;transcript_4-25_ppan;transcript_4-30_ppan;transcript_4-34_ppan;transcript_4-39_ppan;transcript_4-46_ppan;transcript_4-54_ppan;transcript_5-3_ptro;transcript_5-24_ptro;transcript_5-25_ptro;transcript_5-30_ptro;transcript_5-34_ptro;transcript_5-39_ptro;transcript_5-46_ptro;transcript_5-59_ptro;transcript_6-3_hsap;transcript_7-3_ggor;transcript_7-69_ggor;transcript_8-3_pabe;transcript_8-75_pabe;transcript_8-76_pabe
transcript_4-3_ppan;1.0;0.935;0.665;0.993;0.928;0.929;0.658;0.929;1.0;0.935;0.665;0.993;0.928;0.929;0.658;0.658;1.0;1.0;0.994;1.0;0.993;0.994
transcript_4-24_ppan;0.935;1.0;0.6;0.928;0.992;0.993;0.593;0.993;0.935;1.0;0.6;0.928;0.992;0.993;0.593;0.593;0.935;0.935;0.929;0.935;0.928;0.929
transcript_4-25_ppan;0.665;0.6;1.0;0.669;0.604;0.603;0.99;0.603;0.665;0.6;1.0;0.669;0.604;0.603;0.99;0.99;0.665;0.665;0.658;0.665;0.657;0.669
transcript_4-30_ppan;0.993;0.928;0.669;1.0;0.935;0.921;0.663;0.921;0.993;0.928;0.669;1.0;0.935;0.921;0.663;0.663;0.993;0.993;0.986;0.993;0.986;0.986
transcript_4-34_ppan;0.928;0.992;0.604;0.935;1.0;0.985;0.597;0.985;0.928;0.992;0.604;0.935;1.0;0.985;0.597;0.597;0.928;0.928;0.921;0.928;0.921;0.921
transcript_4-39_ppan;0.929;0.993;0.603;0.921;0.985;1.0;0.597;1.0;0.929;0.993;0.603;0.921;0.985;1.0;0.597;0.597;0.929;0.929;0.922;0.929;0.921;0.935
transcript_4-46_ppan;0.658;0.593;0.99;0.663;0.597;0.597;1.0;0.597;0.658;0.593;0.99;0.663;0.597;0.597;1.0;1.0;0.658;0.658;0.662;0.658;0.651;0.662
transcript_4-54_ppan;0.929;0.993;0.603;0.921;0.985;1.0;0.597;1.0;0.929;0.993;0.603;0.921;0.985;1.0;0.597;0.597;0.929;0.929;0.922;0.929;0.921;0.935
transcript_5-3_ptro;1.0;0.935;0.665;0.993;0.928;0.929;0.658;0.929;1.0;0.935;0.665;0.993;0.928;0.929;0.658;0.658;1.0;1.0;0.994;1.0;0.993;0.994
transcript_5-24_ptro;0.935;1.0;0.6;0.928;0.992;0.993;0.593;0.993;0.935;1.0;0.6;0.928;0.992;0.993;0.593;0.593;0.935;0.935;0.929;0.935;0.928;0.929
transcript_5-25_ptro;0.665;0.6;1.0;0.669;0.604;0.603;0.99;0.603;0.665;0.6;1.0;0.669;0.604;0.603;0.99;0.99;0.665;0.665;0.658;0.665;0.657;0.669
transcript_5-30_ptro;0.993;0.928;0.669;1.0;0.935;0.921;0.663;0.921;0.993;0.928;0.669;1.0;0.935;0.921;0.663;0.663;0.993;0.993;0.986;0.993;0.986;0.986
transcript_5-34_ptro;0.928;0.992;0.604;0.935;1.0;0.985;0.597;0.985;0.928;0.992;0.604;0.935;1.0;0.985;0.597;0.597;0.928;0.928;0.921;0.928;0.921;0.921
transcript_5-39_ptro;0.929;0.993;0.603;0.921;0.985;1.0;0.597;1.0;0.929;0.993;0.603;0.921;0.985;1.0;0.597;0.597;0.929;0.929;0.922;0.929;0.921;0.935
transcript_5-46_ptro;0.658;0.593;0.99;0.663;0.597;0.597;1.0;0.597;0.658;0.593;0.99;0.663;0.597;0.597;1.0;1.0;0.658;0.658;0.662;0.658;0.651;0.662
transcript_5-59_ptro;0.658;0.593;0.99;0.663;0.597;0.597;1.0;0.597;0.658;0.593;0.99;0.663;0.597;0.597;1.0;1.0;0.658;0.658;0.662;0.658;0.651;0.662
transcript_6-3_hsap;1.0;0.935;0.665;0.993;0.928;0.929;0.658;0.929;1.0;0.935;0.665;0.993;0.928;0.929;0.658;0.658;1.0;1.0;0.994;1.0;0.993;0.994
transcript_7-3_ggor;1.0;0.935;0.665;0.993;0.928;0.929;0.658;0.929;1.0;0.935;0.665;0.993;0.928;0.929;0.658;0.658;1.0;1.0;0.994;1.0;0.993;0.994
transcript_7-69_ggor;0.994;0.929;0.658;0.986;0.921;0.922;0.662;0.922;0.994;0.929;0.658;0.986;0.921;0.922;0.662;0.662;0.994;0.994;1.0;0.994;0.986;0.987
transcript_8-3_pabe;1.0;0.935;0.665;0.993;0.928;0.929;0.658;0.929;1.0;0.935;0.665;0.993;0.928;0.929;0.658;0.658;1.0;1.0;0.994;1.0;0.993;0.994
transcript_8-75_pabe;0.993;0.928;0.657;0.986;0.921;0.921;0.651;0.921;0.993;0.928;0.657;0.986;0.921;0.921;0.651;0.651;0.993;0.993;0.986;0.993;1.0;0.986
transcript_8-76_pabe;0.994;0.929;0.669;0.986;0.921;0.935;0.662;0.935;0.994;0.929;0.669;0.986;0.921;0.935;0.662;0.662;0.994;0.994;0.987;0.994;0.986;1.0
