transcripts;transcript_4-11_ppan;transcript_4-15_ppan;transcript_4-22_ppan;transcript_4-23_ppan;transcript_4-35_ppan;transcript_4-40_ppan;transcript_4-41_ppan;transcript_4-53_ppan;transcript_5-11_ptro;transcript_5-15_ptro;transcript_5-22_ptro;transcript_5-23_ptro;transcript_5-35_ptro;transcript_5-40_ptro;transcript_5-41_ptro;transcript_6-11_hsap;transcript_6-15_hsap
transcript_4-11_ppan;1.0;0.991;0.915;0.612;0.915;0.907;0.992;0.915;1.0;0.991;0.915;0.612;0.915;0.907;0.992;1.0;0.991
transcript_4-15_ppan;0.991;1.0;0.923;0.617;0.923;0.915;0.984;0.923;0.991;1.0;0.923;0.617;0.923;0.915;0.984;0.991;1.0
transcript_4-22_ppan;0.915;0.923;1.0;0.54;1.0;0.992;0.922;1.0;0.915;0.923;1.0;0.54;1.0;0.992;0.922;0.915;0.923
transcript_4-23_ppan;0.612;0.617;0.54;1.0;0.54;0.545;0.605;0.54;0.612;0.617;0.54;1.0;0.54;0.545;0.605;0.612;0.617
transcript_4-35_ppan;0.915;0.923;1.0;0.54;1.0;0.992;0.922;1.0;0.915;0.923;1.0;0.54;1.0;0.992;0.922;0.915;0.923
transcript_4-40_ppan;0.907;0.915;0.992;0.545;0.992;1.0;0.914;0.992;0.907;0.915;0.992;0.545;0.992;1.0;0.914;0.907;0.915
transcript_4-41_ppan;0.992;0.984;0.922;0.605;0.922;0.914;1.0;0.922;0.992;0.984;0.922;0.605;0.922;0.914;1.0;0.992;0.984
transcript_4-53_ppan;0.915;0.923;1.0;0.54;1.0;0.992;0.922;1.0;0.915;0.923;1.0;0.54;1.0;0.992;0.922;0.915;0.923
transcript_5-11_ptro;1.0;0.991;0.915;0.612;0.915;0.907;0.992;0.915;1.0;0.991;0.915;0.612;0.915;0.907;0.992;1.0;0.991
transcript_5-15_ptro;0.991;1.0;0.923;0.617;0.923;0.915;0.984;0.923;0.991;1.0;0.923;0.617;0.923;0.915;0.984;0.991;1.0
transcript_5-22_ptro;0.915;0.923;1.0;0.54;1.0;0.992;0.922;1.0;0.915;0.923;1.0;0.54;1.0;0.992;0.922;0.915;0.923
transcript_5-23_ptro;0.612;0.617;0.54;1.0;0.54;0.545;0.605;0.54;0.612;0.617;0.54;1.0;0.54;0.545;0.605;0.612;0.617
transcript_5-35_ptro;0.915;0.923;1.0;0.54;1.0;0.992;0.922;1.0;0.915;0.923;1.0;0.54;1.0;0.992;0.922;0.915;0.923
transcript_5-40_ptro;0.907;0.915;0.992;0.545;0.992;1.0;0.914;0.992;0.907;0.915;0.992;0.545;0.992;1.0;0.914;0.907;0.915
transcript_5-41_ptro;0.992;0.984;0.922;0.605;0.922;0.914;1.0;0.922;0.992;0.984;0.922;0.605;0.922;0.914;1.0;0.992;0.984
transcript_6-11_hsap;1.0;0.991;0.915;0.612;0.915;0.907;0.992;0.915;1.0;0.991;0.915;0.612;0.915;0.907;0.992;1.0;0.991
transcript_6-15_hsap;0.991;1.0;0.923;0.617;0.923;0.915;0.984;0.923;0.991;1.0;0.923;0.617;0.923;0.915;0.984;0.991;1.0
