transcripts;transcript_4-22_ppan;transcript_5-22_ptro;transcript_4-24_ppan;transcript_5-24_ptro;transcript_4-33_ppan;transcript_5-33_ptro;transcript_5-29_ptro;transcript_4-29_ppan;transcript_4-25_ppan;transcript_5-25_ptro
transcript_4-22_ppan;1.0;1.0;0.949;0.949;0.947;0.947;0.998;0.998;0.929;0.929
transcript_5-22_ptro;1.0;1.0;0.949;0.949;0.947;0.947;0.998;0.998;0.929;0.929
transcript_4-24_ppan;0.949;0.949;1.0;1.0;0.998;0.998;0.947;0.947;0.893;0.893
transcript_5-24_ptro;0.949;0.949;1.0;1.0;0.998;0.998;0.947;0.947;0.893;0.893
transcript_4-33_ppan;0.947;0.947;0.998;0.998;1.0;1.0;0.945;0.945;0.891;0.891
transcript_5-33_ptro;0.947;0.947;0.998;0.998;1.0;1.0;0.945;0.945;0.891;0.891
transcript_5-29_ptro;0.998;0.998;0.947;0.947;0.945;0.945;1.0;1.0;0.926;0.926
transcript_4-29_ppan;0.998;0.998;0.947;0.947;0.945;0.945;1.0;1.0;0.926;0.926
transcript_4-25_ppan;0.929;0.929;0.893;0.893;0.891;0.891;0.926;0.926;1.0;1.0
transcript_5-25_ptro;0.929;0.929;0.893;0.893;0.891;0.891;0.926;0.926;1.0;1.0
