id_transcript;recent-paralogs;ortho-orthologs;para-orthologs;#cluster
transcript_8-2_ENSRNOG00000001355;null;transcript_12-2_ENSDARG00000102998|1.0&transcript_3-2_FBgn0010417|1.0;transcript_7-2_ENSMUSG00000036980|1.0&transcript_11-2_ENSPTRG00000019474|1.0&transcript_10-2_ENSG00000106290|1.0;0
transcript_7-2_ENSMUSG00000036980;null;transcript_12-2_ENSDARG00000102998|1.0&transcript_3-2_FBgn0010417|1.0;transcript_8-2_ENSRNOG00000001355|1.0&transcript_11-2_ENSPTRG00000019474|1.0&transcript_10-2_ENSG00000106290|1.0;0
transcript_11-2_ENSPTRG00000019474;null;transcript_12-2_ENSDARG00000102998|1.0&transcript_10-2_ENSG00000106290|1.0&transcript_3-2_FBgn0010417|1.0;transcript_8-2_ENSRNOG00000001355|1.0&transcript_7-2_ENSMUSG00000036980|1.0;0
transcript_12-2_ENSDARG00000102998;null;transcript_8-2_ENSRNOG00000001355|1.0&transcript_7-2_ENSMUSG00000036980|1.0&transcript_11-2_ENSPTRG00000019474|1.0&transcript_10-2_ENSG00000106290|1.0&transcript_3-2_FBgn0010417|1.0;null;0
transcript_10-2_ENSG00000106290;null;transcript_11-2_ENSPTRG00000019474|1.0&transcript_12-2_ENSDARG00000102998|1.0&transcript_3-2_FBgn0010417|1.0;transcript_8-2_ENSRNOG00000001355|1.0&transcript_7-2_ENSMUSG00000036980|1.0;0
transcript_3-2_FBgn0010417;null;transcript_8-2_ENSRNOG00000001355|1.0&transcript_7-2_ENSMUSG00000036980|1.0&transcript_11-2_ENSPTRG00000019474|1.0&transcript_12-2_ENSDARG00000102998|1.0&transcript_10-2_ENSG00000106290|1.0;null;0
transcript_11-19_ENSPTRG00000019474;null;transcript_3-19_FBgn0010417|1.0&transcript_12-19_ENSDARG00000102998|1.0&transcript_10-19_ENSG00000106290|1.0;transcript_7-19_ENSMUSG00000036980|1.0&transcript_8-19_ENSRNOG00000001355|1.0;1
transcript_7-19_ENSMUSG00000036980;null;transcript_3-19_FBgn0010417|1.0&transcript_12-19_ENSDARG00000102998|1.0;transcript_11-19_ENSPTRG00000019474|1.0&transcript_8-19_ENSRNOG00000001355|1.0&transcript_10-19_ENSG00000106290|1.0;1
transcript_8-19_ENSRNOG00000001355;null;transcript_3-19_FBgn0010417|1.0&transcript_12-19_ENSDARG00000102998|1.0;transcript_11-19_ENSPTRG00000019474|1.0&transcript_7-19_ENSMUSG00000036980|1.0&transcript_10-19_ENSG00000106290|1.0;1
transcript_3-19_FBgn0010417;null;transcript_11-19_ENSPTRG00000019474|1.0&transcript_7-19_ENSMUSG00000036980|1.0&transcript_8-19_ENSRNOG00000001355|1.0&transcript_12-19_ENSDARG00000102998|1.0&transcript_10-19_ENSG00000106290|1.0;null;1
transcript_12-19_ENSDARG00000102998;null;transcript_11-19_ENSPTRG00000019474|1.0&transcript_7-19_ENSMUSG00000036980|1.0&transcript_8-19_ENSRNOG00000001355|1.0&transcript_3-19_FBgn0010417|1.0&transcript_10-19_ENSG00000106290|1.0;null;1
transcript_10-19_ENSG00000106290;null;transcript_11-19_ENSPTRG00000019474|1.0&transcript_3-19_FBgn0010417|1.0&transcript_12-19_ENSDARG00000102998|1.0;transcript_7-19_ENSMUSG00000036980|1.0&transcript_8-19_ENSRNOG00000001355|1.0;1
transcript_10-20_ENSG00000106290;null;transcript_3-20_FBgn0010417|1.0&transcript_12-20_ENSDARG00000102998|1.0&transcript_11-20_ENSPTRG00000019474|1.0;transcript_7-20_ENSMUSG00000036980|1.0&transcript_8-20_ENSRNOG00000001355|1.0;2
transcript_7-20_ENSMUSG00000036980;null;transcript_3-20_FBgn0010417|1.0&transcript_12-20_ENSDARG00000102998|1.0;transcript_10-20_ENSG00000106290|1.0&transcript_8-20_ENSRNOG00000001355|1.0&transcript_11-20_ENSPTRG00000019474|1.0;2
transcript_3-20_FBgn0010417;null;transcript_10-20_ENSG00000106290|1.0&transcript_7-20_ENSMUSG00000036980|1.0&transcript_8-20_ENSRNOG00000001355|1.0&transcript_12-20_ENSDARG00000102998|1.0&transcript_11-20_ENSPTRG00000019474|1.0;null;2
transcript_8-20_ENSRNOG00000001355;null;transcript_3-20_FBgn0010417|1.0&transcript_12-20_ENSDARG00000102998|1.0;transcript_10-20_ENSG00000106290|1.0&transcript_7-20_ENSMUSG00000036980|1.0&transcript_11-20_ENSPTRG00000019474|1.0;2
transcript_12-20_ENSDARG00000102998;null;transcript_10-20_ENSG00000106290|1.0&transcript_7-20_ENSMUSG00000036980|1.0&transcript_3-20_FBgn0010417|1.0&transcript_8-20_ENSRNOG00000001355|1.0&transcript_11-20_ENSPTRG00000019474|1.0;null;2
transcript_11-20_ENSPTRG00000019474;null;transcript_10-20_ENSG00000106290|1.0&transcript_3-20_FBgn0010417|1.0&transcript_12-20_ENSDARG00000102998|1.0;transcript_7-20_ENSMUSG00000036980|1.0&transcript_8-20_ENSRNOG00000001355|1.0;2
transcript_3-40_FBgn0010417;null;null;null;3
transcript_3-46_FBgn0010417;null;null;null;4
