id_transcript;recent-paralogs;ortho-orthologs;para-orthologs;#cluster
transcript_5-11_ptro;null;transcript_6-11_hsap|1.0&transcript_4-11_ppan|1.0;null;0
transcript_6-11_hsap;null;transcript_5-11_ptro|1.0&transcript_4-11_ppan|1.0;null;0
transcript_4-11_ppan;null;transcript_5-11_ptro|1.0&transcript_6-11_hsap|1.0;null;0
transcript_5-41_ptro;null;transcript_4-41_ppan|1.0;null;1
transcript_4-41_ppan;null;transcript_5-41_ptro|1.0;null;1
transcript_5-23_ptro;null;transcript_4-23_ppan|1.0;null;2
transcript_4-23_ppan;null;transcript_5-23_ptro|1.0;null;2
transcript_6-15_hsap;null;transcript_4-15_ppan|1.0&transcript_5-15_ptro|1.0;null;3
transcript_4-15_ppan;null;transcript_6-15_hsap|1.0&transcript_5-15_ptro|1.0;null;3
transcript_5-15_ptro;null;transcript_6-15_hsap|1.0&transcript_4-15_ppan|1.0;null;3
transcript_4-22_ppan;transcript_4-35_ppan|1.0&transcript_4-53_ppan|1.0;null;null;4
transcript_4-35_ppan;transcript_4-22_ppan|1.0&transcript_4-53_ppan|1.0;transcript_5-22_ptro|1.0&transcript_5-35_ptro|1.0;null;4
transcript_5-22_ptro;transcript_5-35_ptro|1.0;transcript_4-35_ppan|1.0&transcript_4-53_ppan|1.0;null;4
transcript_5-35_ptro;transcript_5-22_ptro|1.0;transcript_4-35_ppan|1.0&transcript_4-53_ppan|1.0;null;4
transcript_4-53_ppan;transcript_4-22_ppan|1.0&transcript_4-35_ppan|1.0;transcript_5-22_ptro|1.0&transcript_5-35_ptro|1.0;null;4
transcript_4-40_ppan;null;transcript_5-40_ptro|1.0;null;5
transcript_5-40_ptro;null;transcript_4-40_ppan|1.0;null;5
