Species,Name,TranscriptID,Source,ExperimentSource,Biotype,Flags,Version
homo_sapiens,AP4M1-209,ENST00000445208,havana,havana_homo_sapiens,nonsense_mediated_decay,5,5
homo_sapiens,AP4M1-206,ENST00000429084,havana,havana_homo_sapiens,protein_coding,5,5
homo_sapiens,AP4M1-201,ENST00000359593,ensembl_havana,ensembl_havana_transcript_homo_sapiens,protein_coding,1 (assigned to previous version 8),9
homo_sapiens,AP4M1-204,ENST00000421755,havana,havana_homo_sapiens,protein_coding,1,5
homo_sapiens,AP4M1-203,ENST00000416938,havana,havana_homo_sapiens,nonsense_mediated_decay,2,5
homo_sapiens,AP4M1-205,ENST00000422582,havana,havana_homo_sapiens,protein_coding,2,5
homo_sapiens,AP4M1-212,ENST00000450807,havana,havana_homo_sapiens,protein_coding,3,5
homo_sapiens,AP4M1-210,ENST00000445295,havana,havana_homo_sapiens,protein_coding,3,1
homo_sapiens,NA,ENST00000494221,havana,havana_homo_sapiens,lncRNA,4,1
homo_sapiens,CNPY4-201,ENST00000262932,ensembl_havana,ensembl_havana_transcript_homo_sapiens,protein_coding,1 (assigned to previous version 4),5
homo_sapiens,TAF6-230,ENST00000687137,havana,havana_homo_sapiens,protein_coding,NA,1
homo_sapiens,TAF6-246,ENST00000689052,havana,havana_homo_sapiens,retained_intron,NA,1
homo_sapiens,TAF6-271,ENST00000693374,havana,havana_homo_sapiens,protein_coding_CDS_not_defined,NA,1
homo_sapiens,TAF6-270,ENST00000693256,havana,havana_homo_sapiens,protein_coding_CDS_not_defined,NA,1
homo_sapiens,TAF6-243,ENST00000688498,havana,havana_homo_sapiens,protein_coding,NA,1
homo_sapiens,TAF6-250,ENST00000689684,havana,havana_homo_sapiens,nonsense_mediated_decay,NA,1
homo_sapiens,TAF6-247,ENST00000689284,havana,havana_homo_sapiens,protein_coding,NA,1
homo_sapiens,TAF6-225,ENST00000686096,havana,havana_homo_sapiens,nonsense_mediated_decay,NA,1
homo_sapiens,TAF6-228,ENST00000686580,havana,havana_homo_sapiens,protein_coding,NA,1
homo_sapiens,TAF6-261,ENST00000691413,havana,havana_homo_sapiens,protein_coding,NA,1
homo_sapiens,TAF6-232,ENST00000687216,havana,havana_homo_sapiens,protein_coding,NA,1
homo_sapiens,TAF6-245,ENST00000688962,havana,havana_homo_sapiens,retained_intron,NA,1
homo_sapiens,TAF6-256,ENST00000690367,havana,havana_homo_sapiens,protein_coding,NA,1
homo_sapiens,TAF6-239,ENST00000688086,havana,havana_homo_sapiens,protein_coding,NA,1
homo_sapiens,TAF6-253,ENST00000690206,havana,havana_homo_sapiens,protein_coding,NA,1
homo_sapiens,TAF6-234,ENST00000687447,havana,havana_homo_sapiens,protein_coding,NA,1
homo_sapiens,TAF6-266,ENST00000692408,havana,havana_homo_sapiens,protein_coding,NA,1
homo_sapiens,TAF6-251,ENST00000689754,havana,havana_homo_sapiens,protein_coding,NA,1
homo_sapiens,TAF6-252,ENST00000689866,havana,havana_homo_sapiens,nonsense_mediated_decay,NA,1
