transcripts;transcript_4-7_ppan;transcript_5-7_ptro;transcript_6-7_hsap;transcript_4-9_ppan;transcript_5-9_ptro;transcript_6-9_hsap;transcript_4-17_ppan;transcript_5-17_ptro;transcript_4-10_ppan;transcript_4-16_ppan;transcript_6-10_hsap;transcript_5-10_ptro;transcript_5-16_ptro;transcript_4-27_ppan;transcript_5-27_ptro;transcript_4-18_ppan;transcript_5-18_ptro;transcript_4-13_ppan;transcript_6-13_hsap;transcript_5-13_ptro;transcript_5-30_ptro;transcript_4-30_ppan;transcript_4-24_ppan;transcript_5-24_ptro;transcript_5-28_ptro;transcript_4-28_ppan
transcript_4-7_ppan;1.0;1.0;1.0;0.99;0.99;0.99;0.933;0.933;0.943;0.943;0.943;0.943;0.943;0.995;0.995;0.671;0.671;0.995;0.995;0.995;0.99;0.99;0.666;0.666;0.661;0.661
transcript_5-7_ptro;1.0;1.0;1.0;0.99;0.99;0.99;0.933;0.933;0.943;0.943;0.943;0.943;0.943;0.995;0.995;0.671;0.671;0.995;0.995;0.995;0.99;0.99;0.666;0.666;0.661;0.661
transcript_6-7_hsap;1.0;1.0;1.0;0.99;0.99;0.99;0.933;0.933;0.943;0.943;0.943;0.943;0.943;0.995;0.995;0.671;0.671;0.995;0.995;0.995;0.99;0.99;0.666;0.666;0.661;0.661
transcript_4-9_ppan;0.99;0.99;0.99;1.0;1.0;1.0;0.942;0.942;0.933;0.933;0.933;0.933;0.933;0.985;0.985;0.661;0.661;0.985;0.985;0.985;0.98;0.98;0.655;0.655;0.65;0.65
transcript_5-9_ptro;0.99;0.99;0.99;1.0;1.0;1.0;0.942;0.942;0.933;0.933;0.933;0.933;0.933;0.985;0.985;0.661;0.661;0.985;0.985;0.985;0.98;0.98;0.655;0.655;0.65;0.65
transcript_6-9_hsap;0.99;0.99;0.99;1.0;1.0;1.0;0.942;0.942;0.933;0.933;0.933;0.933;0.933;0.985;0.985;0.661;0.661;0.985;0.985;0.985;0.98;0.98;0.655;0.655;0.65;0.65
transcript_4-17_ppan;0.933;0.933;0.933;0.942;0.942;0.942;1.0;1.0;0.989;0.989;0.989;0.989;0.989;0.928;0.928;0.701;0.701;0.928;0.928;0.928;0.923;0.923;0.695;0.695;0.69;0.69
transcript_5-17_ptro;0.933;0.933;0.933;0.942;0.942;0.942;1.0;1.0;0.989;0.989;0.989;0.989;0.989;0.928;0.928;0.701;0.701;0.928;0.928;0.928;0.923;0.923;0.695;0.695;0.69;0.69
transcript_4-10_ppan;0.943;0.943;0.943;0.933;0.933;0.933;0.989;0.989;1.0;1.0;1.0;1.0;1.0;0.938;0.938;0.712;0.712;0.938;0.938;0.938;0.933;0.933;0.706;0.706;0.7;0.7
transcript_4-16_ppan;0.943;0.943;0.943;0.933;0.933;0.933;0.989;0.989;1.0;1.0;1.0;1.0;1.0;0.938;0.938;0.712;0.712;0.938;0.938;0.938;0.933;0.933;0.706;0.706;0.7;0.7
