id_transcript;recent-paralogs;ortho-orthologs;para-orthologs;#cluster
transcript_6-9_hsap;null;transcript_5-9_ptro|1.0&transcript_4-9_ppan|1.0;null;0
transcript_5-9_ptro;null;transcript_6-9_hsap|1.0&transcript_4-9_ppan|1.0;null;0
transcript_4-9_ppan;null;transcript_6-9_hsap|1.0&transcript_5-9_ptro|1.0;null;0
transcript_4-15_ppan;null;transcript_5-15_ptro|1.0&transcript_6-15_hsap|1.0;null;1
transcript_5-15_ptro;null;transcript_4-15_ppan|1.0&transcript_6-15_hsap|1.0;null;1
transcript_6-15_hsap;null;transcript_4-15_ppan|1.0&transcript_5-15_ptro|1.0;null;1
transcript_4-19_ppan;null;transcript_5-19_ptro|1.0&transcript_6-19_hsap|1.0;null;2
transcript_5-19_ptro;null;transcript_4-19_ppan|1.0&transcript_6-19_hsap|1.0;null;2
transcript_6-19_hsap;null;transcript_4-19_ppan|1.0&transcript_5-19_ptro|1.0;null;2
transcript_4-30_ppan;null;transcript_5-30_ptro|1.0;null;3
transcript_5-30_ptro;null;transcript_4-30_ppan|1.0;null;3
transcript_5-32_ptro;null;transcript_4-32_ppan|1.0;null;4
transcript_4-32_ppan;null;transcript_5-32_ptro|1.0;null;4
transcript_4-34_ppan;null;transcript_5-34_ptro|1.0;null;5
transcript_5-34_ptro;null;transcript_4-34_ppan|1.0;null;5
transcript_4-38_ppan;null;transcript_5-38_ptro|1.0;null;6
transcript_5-38_ptro;null;transcript_4-38_ppan|1.0;null;6
transcript_4-39_ppan;null;transcript_5-39_ptro|1.0;null;7
transcript_5-39_ptro;null;transcript_4-39_ppan|1.0;null;7
transcript_6-14_hsap;null;null;null;8
transcript_6-49_hsap;null;null;null;9
transcript_6-50_hsap;null;null;null;10
