transcripts;transcript_4-6_ppan;transcript_4-14_ppan;transcript_4-15_ppan;transcript_4-24_ppan;transcript_5-6_ptro;transcript_5-14_ptro;transcript_5-15_ptro;transcript_5-24_ptro;transcript_6-6_hsap;transcript_7-6_ggor
transcript_4-6_ppan;1.0;0.911;0.765;0.759;1.0;0.911;0.765;0.759;1.0;1.0
transcript_4-14_ppan;0.911;1.0;0.675;0.67;0.911;1.0;0.675;0.67;0.911;0.911
transcript_4-15_ppan;0.765;0.675;1.0;0.993;0.765;0.675;1.0;0.993;0.765;0.765
transcript_4-24_ppan;0.759;0.67;0.993;1.0;0.759;0.67;0.993;1.0;0.759;0.759
transcript_5-6_ptro;1.0;0.911;0.765;0.759;1.0;0.911;0.765;0.759;1.0;1.0
transcript_5-14_ptro;0.911;1.0;0.675;0.67;0.911;1.0;0.675;0.67;0.911;0.911
transcript_5-15_ptro;0.765;0.675;1.0;0.993;0.765;0.675;1.0;0.993;0.765;0.765
transcript_5-24_ptro;0.759;0.67;0.993;1.0;0.759;0.67;0.993;1.0;0.759;0.759
transcript_6-6_hsap;1.0;0.911;0.765;0.759;1.0;0.911;0.765;0.759;1.0;1.0
transcript_7-6_ggor;1.0;0.911;0.765;0.759;1.0;0.911;0.765;0.759;1.0;1.0
