;transcript_4-12_ppan;transcript_4-16_ppan;transcript_4-17_ppan;transcript_4-23_ppan;transcript_4-28_ppan;transcript_5-12_ptro;transcript_5-16_ptro;transcript_5-17_ptro;transcript_5-23_ptro;transcript_5-28_ptro
transcript_4-12_ppan;1.0;0.791;0.894;0.786;0.889;1.0;0.791;0.894;0.786;0.889
transcript_4-16_ppan;0.791;1.0;0.685;0.994;0.68;0.791;1.0;0.685;0.994;0.68
transcript_4-17_ppan;0.894;0.685;1.0;0.68;0.994;0.894;0.685;1.0;0.68;0.994
transcript_4-23_ppan;0.786;0.994;0.68;1.0;0.675;0.786;0.994;0.68;1.0;0.675
transcript_4-28_ppan;0.889;0.68;0.994;0.675;1.0;0.889;0.68;0.994;0.675;1.0
transcript_5-12_ptro;1.0;0.791;0.894;0.786;0.889;1.0;0.791;0.894;0.786;0.889
transcript_5-16_ptro;0.791;1.0;0.685;0.994;0.68;0.791;1.0;0.685;0.994;0.68
transcript_5-17_ptro;0.894;0.685;1.0;0.68;0.994;0.894;0.685;1.0;0.68;0.994
transcript_5-23_ptro;0.786;0.994;0.68;1.0;0.675;0.786;0.994;0.68;1.0;0.675
transcript_5-28_ptro;0.889;0.68;0.994;0.675;1.0;0.889;0.68;0.994;0.675;1.0
