GeneID,TranscriptIDCluster,TranscriptLength,TSL,Path,MinimumConservation,MinimumTranscriptFraction,MinimumTranscriptWeightedConservation,ConservationSum,TranscriptFractionSum,TranscriptWeightedConservationSum,MeanConservation,MeanTranscriptFraction,MeanTranscriptWeightedConservation,PathGeneNumber
ENSG00000109339,ENST00000641050/ENST00000641170/ENST00000641274/ENST00000641862/ENST00000642038,422,,start/18_1/6_0/6_1/6_2/8_1/8_2/21_0/7_0/7_1/4_0/19_0/3_0/11_0/12_0/15_0/15_1/15_2/36_0/stop,60.0,26.31578947368421,0.2571428571428571,1820.0,1382.4561403508767,14.23642857142857,95.78947368421052,72.76084949215142,0.7492857142857142,1
ENSDARG00000102730,ENSDART00000159899/ENSDART00000161753,384,,start/6_2/8_1/8_2/21_0/7_0/7_1/4_0/19_0/3_0/11_0/12_0/15_0/15_1/15_2/36_0/stop,60.0,26.31578947368421,0.25642857142857145,1500.0,1201.7543859649118,12.143571428571429,93.75,75.10964912280701,0.7589732142857142,2
ENSG00000109339,ENST00000641237/ENST00000641313/ENST00000641430/ENST00000641537/ENST00000641555/ENST00000641767/ENST00000641989/ENST00000642032,384,,start/6_2/8_1/8_2/21_0/7_0/7_1/4_0/19_0/3_0/11_0/12_0/15_0/15_1/15_2/36_0/stop,60.0,26.31578947368421,0.25642857142857145,1500.0,1201.7543859649118,12.143571428571429,93.75,75.10964912280701,0.7589732142857142,2
ENSG00000109339,ENST00000395160/ENST00000395169,422,1.0,start/18_1/6_0/6_1/6_2/8_1/8_2/21_0/7_0/7_1/4_0/19_1/3_0/11_0/12_0/15_0/15_1/15_2/36_0/stop,60.0,17.543859649122805,0.15428571428571428,1780.0,1277.19298245614,13.065,93.6842105263158,67.22068328716527,0.6876315789473684,1
ENSG00000109339,ENST00000641120/ENST00000641208,384,,start/6_2/8_1/8_2/21_0/7_0/7_1/4_0/19_1/3_0/11_0/12_0/15_0/15_1/15_2/36_0/stop,60.0,17.543859649122805,0.15428571428571428,1460.0,1096.4912280701753,10.972142857142858,91.25,68.53070175438596,0.6857589285714285,1
ENSMUSG00000046709,ENSMUST00000112847/ENSMUST00000170792,464,1.0,start/18_1/6_0/6_1/6_2/8_1/8_2/21_0/7_0/7_1/4_0/19_0/3_0/11_0/12_0/15_0/15_1/15_2/5_0/5_1/stop,40.0,8.771929824561402,0.16428571428571428,1900.0,1417.5438596491222,14.645,95.0,70.87719298245612,0.73225,1
ENSMUSG00000046709,ENSMUST00000238446,464,,start/18_1/6_0/6_1/6_2/8_1/8_2/21_0/7_0/7_1/4_0/19_0/3_0/11_0/12_0/15_0/15_1/15_2/5_0/5_1/stop,40.0,8.771929824561402,0.16428571428571428,1900.0,1417.5438596491222,14.645,95.0,70.87719298245612,0.73225,1
ENSMUSG00000046709,ENSMUST00000086854,464,1.0,start/18_1/6_0/6_1/6_2/8_1/8_2/21_0/7_0/7_1/4_0/19_1/3_0/11_0/12_0/15_0/15_1/15_2/5_0/5_1/stop,40.0,8.771929824561402,0.15428571428571428,1860.0,1312.2807017543855,13.473571428571429,93.0,65.61403508771927,0.6736785714285713,1
ENSTRUG00000013056,ENSTRUT00000064587,464,,start/18_1/6_0/6_1/6_2/8_1/8_2/21_0/7_0/7_1/4_0/19_1/3_0/11_0/12_0/15_0/15_1/15_2/5_0/5_1/0_7/stop,20.0,12.280701754385964,0.13999999999999999,1860.0,1328.0701754385962,13.589285714285715,88.57142857142857,63.241436925647434,0.6471088435374149,1
ENSXETG00000006199,ENSXETT00000090005,441,,start/18_1/6_0/6_1/6_2/8_1/8_2/21_0/7_0/7_1/4_0/19_0/3_0/11_0/23_0/12_0/15_0/15_1/15_2/36_0/stop,20.0,8.771929824561402,0.125,1760.0,1324.5614035087715,13.860000000000001,88.0,66.22807017543857,0.6929999999999998,1
