id_gene;blocks
FBgn0010417;0|1|2|3|4|5|6
FBgn0010417;0|1|2|3|4|5|6
FBgn0010417;0|1|2|3|4|5|6
FBgn0010417;0|1|2|3|4|5|6
FBgn0010417;0|1|2|3|4|5|6
FBgn0010417;0|1|2|3|4|5|6
ENSMUSG00000036980;0|1|2|3|4|5|6
ENSRNOG00000001355;0|1|2|3|4|5|6
ENSRNOG00000001355;0|1|2|3|4|5|6
ENSG00000106290;0|1|2|3|4|5|6
ENSPTRG00000019474;0|1|2|3|4|5|6
ENSDARG00000102998;0|1|2|3|4|5|6
FBgn0010417;0|1|2|3|4|5|6
ENSMUSG00000036980;0|1|2|3|4|5|6
ENSRNOG00000001355;0|1|2|3|4|5|6
ENSG00000106290;0|1|2|3|4|5|6
ENSPTRG00000019474;0|1|2|3|4|5|6
ENSDARG00000102998;0|1|2|3|4|5|6
