id_transcript;recent-paralogs;ortho-orthologs;para-orthologs;#cluster
transcript_4-34_ppan;null;transcript_5-34_ptro|1.0;null;0
transcript_5-34_ptro;null;transcript_4-34_ppan|1.0;null;0
transcript_6-9_hsap;null;transcript_5-9_ptro|1.0&transcript_4-9_ppan|1.0;null;1
transcript_5-9_ptro;null;transcript_6-9_hsap|1.0&transcript_4-9_ppan|1.0;null;1
transcript_4-9_ppan;null;transcript_6-9_hsap|1.0&transcript_5-9_ptro|1.0;null;1
transcript_5-25_ptro;null;transcript_4-25_ppan|1.0;null;2
transcript_4-25_ppan;null;transcript_5-25_ptro|1.0;null;2
transcript_7-0_ggor;null;transcript_5-0_ptro|1.0&transcript_8-0_pabe|1.0&transcript_6-0_hsap|1.0&transcript_4-0_ppan|1.0;null;3
transcript_5-0_ptro;null;transcript_7-0_ggor|1.0&transcript_8-0_pabe|1.0&transcript_6-0_hsap|1.0&transcript_4-0_ppan|1.0;null;3
transcript_8-0_pabe;null;transcript_7-0_ggor|1.0&transcript_5-0_ptro|1.0&transcript_6-0_hsap|1.0&transcript_4-0_ppan|1.0;null;3
transcript_6-0_hsap;null;transcript_7-0_ggor|1.0&transcript_5-0_ptro|1.0&transcript_8-0_pabe|1.0&transcript_4-0_ppan|1.0;null;3
transcript_4-0_ppan;null;transcript_7-0_ggor|1.0&transcript_5-0_ptro|1.0&transcript_8-0_pabe|1.0&transcript_6-0_hsap|1.0;null;3
transcript_4-29_ppan;null;transcript_5-29_ptro|1.0;null;4
transcript_5-29_ptro;null;transcript_4-29_ppan|1.0;null;4
transcript_4-10_ppan;null;transcript_5-10_ptro|1.0&transcript_6-10_hsap|1.0;null;5
transcript_5-10_ptro;null;transcript_4-10_ppan|1.0&transcript_6-10_hsap|1.0;null;5
transcript_6-10_hsap;null;transcript_4-10_ppan|1.0&transcript_5-10_ptro|1.0;null;5
transcript_4-17_ppan;null;transcript_5-17_ptro|1.0;null;6
transcript_5-17_ptro;null;transcript_4-17_ppan|1.0;null;6
transcript_4-13_ppan;transcript_4-31_ppan|1.0;transcript_5-31_ptro|1.0&transcript_6-13_hsap|1.0&transcript_5-13_ptro|1.0;null;7
transcript_5-31_ptro;transcript_5-13_ptro|1.0;transcript_4-13_ppan|1.0&transcript_6-13_hsap|1.0&transcript_4-31_ppan|1.0;null;7
transcript_6-13_hsap;null;transcript_4-13_ppan|1.0&transcript_5-31_ptro|1.0&transcript_4-31_ppan|1.0&transcript_5-13_ptro|1.0;null;7
transcript_4-31_ppan;transcript_4-13_ppan|1.0;transcript_5-31_ptro|1.0&transcript_6-13_hsap|1.0&transcript_5-13_ptro|1.0;null;7
transcript_5-13_ptro;transcript_5-31_ptro|1.0;transcript_4-13_ppan|1.0&transcript_6-13_hsap|1.0&transcript_4-31_ppan|1.0;null;7
transcript_5-36_ptro;null;transcript_4-36_ppan|1.0;null;8
transcript_4-36_ppan;null;transcript_5-36_ptro|1.0;null;8
transcript_4-18_ppan;null;transcript_5-18_ptro|1.0;null;9
transcript_5-18_ptro;null;transcript_4-18_ppan|1.0;null;9
transcript_5-30_ptro;null;transcript_4-30_ppan|1.0;null;10
transcript_4-30_ppan;null;transcript_5-30_ptro|1.0;null;10
transcript_4-24_ppan;null;transcript_5-24_ptro|1.0;null;11
transcript_5-24_ptro;null;transcript_4-24_ppan|1.0;null;11
transcript_5-26_ptro;null;transcript_4-26_ppan|1.0;null;12
transcript_4-26_ppan;null;transcript_5-26_ptro|1.0;null;12
transcript_5-33_ptro;null;transcript_4-33_ppan|1.0;null;13
transcript_4-33_ppan;null;transcript_5-33_ptro|1.0;null;13
transcript_4-19_ppan;null;transcript_5-19_ptro|1.0;null;14
transcript_5-19_ptro;null;transcript_4-19_ppan|1.0;null;14
