id_gene;blocks
FBgn0010417;0|1|2|3|4|5|6|7|8|9|10|11|12
FBgn0010417;0|1|2|3|4|5|6|7|8|9|10|11|12
ENSMUSG00000036980;0|1|2|3|4|5|6|7|8|9|10|11|12
ENSRNOG00000001355;0|1|2|3|4|5|6|7|8|9|10|11|12
ENSG00000106290;0|1|2|3|4|5|6|7|8|9|10|11|12
ENSPTRG00000019474;0|1|2|3|4|5|6|7|8|9|10|11|12
ENSDARG00000102998;0|1|2|3|4|5|6|7|8|9|10|11|12
FBgn0010417;0|1|2|3|4|5|6|7|8|9|10|11|12
FBgn0010417;0|1|2|3|4|5|6|7|8|9|10|11|12
FBgn0010417;0|1|2|3|4|5|6|7|8|9|10|11|12
ENSMUSG00000036980;0|1|2|3|4|5|6|7|8|9|10|11|12
ENSRNOG00000001355;0|1|2|3|4|5|6|7|8|9|10|11|12
ENSG00000106290;0|1|2|3|4|5|6|7|8|9|10|11|12
ENSPTRG00000019474;0|1|2|3|4|5|6|7|8|9|10|11|12
ENSDARG00000102998;0|1|2|3|4|5|6|7|8|9|10|11|12
ENSDARG00000102998;0|1|2|3|4|5|6|7|8|9|10|11|12
