transcripts;transcript_4-11_ppan;transcript_5-11_ptro;transcript_6-2_hsap;transcript_6-11_hsap;transcript_7-2_ggor;transcript_7-48_ggor;transcript_7-49_ggor;transcript_8-2_pabe;transcript_8-55_pabe;transcript_8-56_pabe
transcript_4-11_ppan;1.0;1.0;0.99;1.0;0.99;0.725;0.843;0.99;0.725;0.843
transcript_5-11_ptro;1.0;1.0;0.99;1.0;0.99;0.725;0.843;0.99;0.725;0.843
transcript_6-2_hsap;0.99;0.99;1.0;0.99;1.0;0.735;0.853;1.0;0.735;0.853
transcript_6-11_hsap;1.0;1.0;0.99;1.0;0.99;0.725;0.843;0.99;0.725;0.843
transcript_7-2_ggor;0.99;0.99;1.0;0.99;1.0;0.735;0.853;1.0;0.735;0.853
transcript_7-48_ggor;0.725;0.725;0.735;0.725;0.735;1.0;0.587;0.735;1.0;0.587
transcript_7-49_ggor;0.843;0.843;0.853;0.843;0.853;0.587;1.0;0.853;0.587;1.0
transcript_8-2_pabe;0.99;0.99;1.0;0.99;1.0;0.735;0.853;1.0;0.735;0.853
transcript_8-55_pabe;0.725;0.725;0.735;0.725;0.735;1.0;0.587;0.735;1.0;0.587
transcript_8-56_pabe;0.843;0.843;0.853;0.843;0.853;0.587;1.0;0.853;0.587;1.0
