id_gene;blocks
FBgn0010417;0|1|2|3|4|5|6|7
FBgn0010417;0|1|2|3|4|5|6|7
ENSMUSG00000036980;0|1|2|3|4|5|6|7
ENSRNOG00000001355;0|1|2|3|4|5|6|7
ENSG00000106290;0|1|2|3|4|5|6|7
ENSPTRG00000019474;0|1|2|3|4|5|6|7
ENSDARG00000102998;0|1|2|3|4|5|6|7
FBgn0010417;0|1|2|3|4|5|6|7
ENSMUSG00000036980;0|1|2|3|4|5|6|7
ENSRNOG00000001355;0|1|2|3|4|5|6|7
ENSG00000106290;0|1|2|3|4|5|6|7
ENSPTRG00000019474;0|1|2|3|4|5|6|7
ENSDARG00000102998;0|1|2|3|4|5|6|7
FBgn0010417;0|1|2|3|4|5|6|7
FBgn0010417;0|1|2|3|4|5|6|7
ENSMUSG00000036980;0|1|2|3|4|5|6|7
ENSRNOG00000001355;0|1|2|3|4|5|6|7
ENSG00000106290;0|1|2|3|4|5|6|7
ENSPTRG00000019474;0|1|2|3|4|5|6|7
ENSDARG00000102998;0|1|2|3|4|5|6|7
