transcripts;transcript_4-9_ppan;transcript_4-15_ppan;transcript_5-15_ptro;transcript_6-15_hsap;transcript_5-9_ptro;transcript_6-9_hsap;transcript_4-32_ppan;transcript_5-32_ptro;transcript_5-34_ptro;transcript_4-34_ppan;transcript_4-30_ppan;transcript_5-30_ptro;transcript_5-38_ptro;transcript_4-38_ppan;transcript_6-19_hsap;transcript_4-19_ppan;transcript_5-19_ptro;transcript_6-14_hsap;transcript_4-39_ppan;transcript_5-39_ptro;transcript_6-49_hsap;transcript_6-50_hsap
transcript_4-9_ppan;1.0;0.978;0.978;0.978;1.0;1.0;0.976;0.976;0.973;0.973;0.997;0.997;0.995;0.995;0.869;0.869;0.869;0.871;0.867;0.867;0.861;0.779
transcript_4-15_ppan;0.978;1.0;1.0;1.0;0.978;0.978;0.997;0.997;0.995;0.995;0.976;0.976;0.973;0.973;0.859;0.859;0.859;0.861;0.856;0.856;0.851;0.768
transcript_5-15_ptro;0.978;1.0;1.0;1.0;0.978;0.978;0.997;0.997;0.995;0.995;0.976;0.976;0.973;0.973;0.859;0.859;0.859;0.861;0.856;0.856;0.851;0.768
transcript_6-15_hsap;0.978;1.0;1.0;1.0;0.978;0.978;0.997;0.997;0.995;0.995;0.976;0.976;0.973;0.973;0.859;0.859;0.859;0.861;0.856;0.856;0.851;0.768
transcript_5-9_ptro;1.0;0.978;0.978;0.978;1.0;1.0;0.976;0.976;0.973;0.973;0.997;0.997;0.995;0.995;0.869;0.869;0.869;0.871;0.867;0.867;0.861;0.779
transcript_6-9_hsap;1.0;0.978;0.978;0.978;1.0;1.0;0.976;0.976;0.973;0.973;0.997;0.997;0.995;0.995;0.869;0.869;0.869;0.871;0.867;0.867;0.861;0.779
transcript_4-32_ppan;0.976;0.997;0.997;0.997;0.976;0.976;1.0;1.0;0.998;0.998;0.973;0.973;0.971;0.971;0.856;0.856;0.856;0.858;0.854;0.854;0.848;0.766
transcript_5-32_ptro;0.976;0.997;0.997;0.997;0.976;0.976;1.0;1.0;0.998;0.998;0.973;0.973;0.971;0.971;0.856;0.856;0.856;0.858;0.854;0.854;0.848;0.766
transcript_5-34_ptro;0.973;0.995;0.995;0.995;0.973;0.973;0.998;0.998;1.0;1.0;0.971;0.971;0.968;0.968;0.854;0.854;0.854;0.856;0.856;0.856;0.846;0.763
transcript_4-34_ppan;0.973;0.995;0.995;0.995;0.973;0.973;0.998;0.998;1.0;1.0;0.971;0.971;0.968;0.968;0.854;0.854;0.854;0.856;0.856;0.856;0.846;0.763
transcript_4-30_ppan;0.997;0.976;0.976;0.976;0.997;0.997;0.973;0.973;0.971;0.971;1.0;1.0;0.998;0.998;0.866;0.866;0.866;0.869;0.864;0.864;0.858;0.776
transcript_5-30_ptro;0.997;0.976;0.976;0.976;0.997;0.997;0.973;0.973;0.971;0.971;1.0;1.0;0.998;0.998;0.866;0.866;0.866;0.869;0.864;0.864;0.858;0.776
transcript_5-38_ptro;0.995;0.973;0.973;0.973;0.995;0.995;0.971;0.971;0.968;0.968;0.998;0.998;1.0;1.0;0.864;0.864;0.864;0.866;0.862;0.862;0.856;0.774
transcript_4-38_ppan;0.995;0.973;0.973;0.973;0.995;0.995;0.971;0.971;0.968;0.968;0.998;0.998;1.0;1.0;0.864;0.864;0.864;0.866;0.862;0.862;0.856;0.774
transcript_6-19_hsap;0.869;0.859;0.859;0.859;0.869;0.869;0.856;0.856;0.854;0.854;0.866;0.866;0.864;0.864;1.0;1.0;1.0;0.997;0.997;0.997;0.986;0.892
transcript_4-19_ppan;0.869;0.859;0.859;0.859;0.869;0.869;0.856;0.856;0.854;0.854;0.866;0.866;0.864;0.864;1.0;1.0;1.0;0.997;0.997;0.997;0.986;0.892
transcript_5-19_ptro;0.869;0.859;0.859;0.859;0.869;0.869;0.856;0.856;0.854;0.854;0.866;0.866;0.864;0.864;1.0;1.0;1.0;0.997;0.997;0.997;0.986;0.892
transcript_6-14_hsap;0.871;0.861;0.861;0.861;0.871;0.871;0.858;0.858;0.856;0.856;0.869;0.869;0.866;0.866;0.997;0.997;0.997;1.0;0.995;0.995;0.988;0.894
transcript_4-39_ppan;0.867;0.856;0.856;0.856;0.867;0.867;0.854;0.854;0.856;0.856;0.864;0.864;0.862;0.862;0.997;0.997;0.997;0.995;1.0;1.0;0.983;0.889
transcript_5-39_ptro;0.867;0.856;0.856;0.856;0.867;0.867;0.854;0.854;0.856;0.856;0.864;0.864;0.862;0.862;0.997;0.997;0.997;0.995;1.0;1.0;0.983;0.889
transcript_6-49_hsap;0.861;0.851;0.851;0.851;0.861;0.861;0.848;0.848;0.846;0.846;0.858;0.858;0.856;0.856;0.986;0.986;0.986;0.988;0.983;0.983;1.0;0.883
transcript_6-50_hsap;0.779;0.768;0.768;0.768;0.779;0.779;0.766;0.766;0.763;0.763;0.776;0.776;0.774;0.774;0.892;0.892;0.892;0.894;0.889;0.889;0.883;1.0
