cluster;taxon;position;gene;transcripts
red;homo_sapiens;9#8;ENSG00000109339;ENST00000641102
yellow;homo_sapiens;9#17;ENSG00000109339;ENST00000641050/ENST00000641170
blue;homo_sapiens;9#9;ENSG00000109339;ENST00000641553/ENST00000641718
pink;homo_sapiens;9#14;ENSG00000109339;ENST00000641903
orphan;homo_sapiens;9#26;ENSG00000109339;ENST00000641777
red;mus_musculus;8#4;ENSMUSG00000046709;ENSMUST00000112847/ENSMUST00000170792
yellow;mus_musculus;8#5;ENSMUSG00000046709;ENSMUST00000112846
blue;mus_musculus;8#2;ENSMUSG00000046709;ENSMUST00000086854
orphan;mus_musculus;8#1;ENSMUSG00000046709;ENSMUST00000128869
yellow;danio_rerio;4#3;ENSDARG00000102730;ENSDART00000162834
mauve;danio_rerio;4#1;ENSDARG00000102730;ENSDART00000160711
orphan;danio_rerio;4#2;ENSDARG00000102730;ENSDART00000161289
red;takifugu_rubripes;5#6;ENSTRUG00000013056;ENSTRUT00000090372
mauve;takifugu_rubripes;5#4;ENSTRUG00000013056;ENSTRUT00000060459
blue;takifugu_rubripes;5#0;ENSTRUG00000013056;ENSTRUT00000064587
pink;takifugu_rubripes;5#5;ENSTRUG00000013056;ENSTRUT00000086504
yellow;xenopus_tropicalis;7#0;ENSXETG00000006199;ENSXETT00000090005
pink;xenopus_tropicalis;7#7;ENSXETG00000006199;ENSXETT00000091467
orphan;xenopus_tropicalis;7#6;ENSXETG00000006199;ENSXETT00000086349
