transcripts;transcript_4-11_ppan;transcript_5-11_ptro;transcript_6-11_hsap;transcript_4-41_ppan;transcript_5-41_ptro;transcript_4-23_ppan;transcript_5-23_ptro;transcript_4-15_ppan;transcript_6-15_hsap;transcript_5-15_ptro;transcript_5-22_ptro;transcript_4-22_ppan;transcript_4-53_ppan;transcript_5-35_ptro;transcript_4-35_ppan;transcript_4-40_ppan;transcript_5-40_ptro
transcript_4-11_ppan;1.0;1.0;1.0;0.992;0.992;0.612;0.612;0.991;0.991;0.991;0.915;0.915;0.915;0.915;0.915;0.907;0.907
transcript_5-11_ptro;1.0;1.0;1.0;0.992;0.992;0.612;0.612;0.991;0.991;0.991;0.915;0.915;0.915;0.915;0.915;0.907;0.907
transcript_6-11_hsap;1.0;1.0;1.0;0.992;0.992;0.612;0.612;0.991;0.991;0.991;0.915;0.915;0.915;0.915;0.915;0.907;0.907
transcript_4-41_ppan;0.992;0.992;0.992;1.0;1.0;0.617;0.617;0.999;0.999;0.999;0.922;0.922;0.922;0.922;0.922;0.914;0.914
transcript_5-41_ptro;0.992;0.992;0.992;1.0;1.0;0.617;0.617;0.999;0.999;0.999;0.922;0.922;0.922;0.922;0.922;0.914;0.914
transcript_4-23_ppan;0.612;0.612;0.612;0.617;0.617;1.0;1.0;0.617;0.617;0.617;0.555;0.555;0.555;0.555;0.555;0.559;0.559
transcript_5-23_ptro;0.612;0.612;0.612;0.617;0.617;1.0;1.0;0.617;0.617;0.617;0.555;0.555;0.555;0.555;0.555;0.559;0.559
transcript_4-15_ppan;0.991;0.991;0.991;0.999;0.999;0.617;0.617;1.0;1.0;1.0;0.923;0.923;0.923;0.923;0.923;0.915;0.915
transcript_6-15_hsap;0.991;0.991;0.991;0.999;0.999;0.617;0.617;1.0;1.0;1.0;0.923;0.923;0.923;0.923;0.923;0.915;0.915
transcript_5-15_ptro;0.991;0.991;0.991;0.999;0.999;0.617;0.617;1.0;1.0;1.0;0.923;0.923;0.923;0.923;0.923;0.915;0.915
transcript_5-22_ptro;0.915;0.915;0.915;0.922;0.922;0.555;0.555;0.923;0.923;0.923;1.0;1.0;1.0;1.0;1.0;0.992;0.992
transcript_4-22_ppan;0.915;0.915;0.915;0.922;0.922;0.555;0.555;0.923;0.923;0.923;1.0;1.0;1.0;1.0;1.0;0.992;0.992
transcript_4-53_ppan;0.915;0.915;0.915;0.922;0.922;0.555;0.555;0.923;0.923;0.923;1.0;1.0;1.0;1.0;1.0;0.992;0.992
transcript_5-35_ptro;0.915;0.915;0.915;0.922;0.922;0.555;0.555;0.923;0.923;0.923;1.0;1.0;1.0;1.0;1.0;0.992;0.992
transcript_4-35_ppan;0.915;0.915;0.915;0.922;0.922;0.555;0.555;0.923;0.923;0.923;1.0;1.0;1.0;1.0;1.0;0.992;0.992
transcript_4-40_ppan;0.907;0.907;0.907;0.914;0.914;0.559;0.559;0.915;0.915;0.915;0.992;0.992;0.992;0.992;0.992;1.0;1.0
transcript_5-40_ptro;0.907;0.907;0.907;0.914;0.914;0.559;0.559;0.915;0.915;0.915;0.992;0.992;0.992;0.992;0.992;1.0;1.0
