id_gene;blocks
ENSMUSG00000036980;0|2|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|21|23|24|25|26|27|28|30|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|51|53|54|55|57|58|59|60|61|63|64|66|67|68|69
ENSMUSG00000036980;0|2|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|21|23|24|25|26|27|28|30|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|51|53|54|55|57|58|59|60|61|63|64|66|67|68|69
ENSG00000106290;0|2|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|21|23|24|25|26|27|28|30|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|51|53|54|55|57|58|59|60|61|63|64|66|68|69
ENSG00000106290;0|2|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|21|23|24|25|26|27|28|30|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|51|53|54|55|57|58|59|60|61|63|64|66|68|69
ENSG00000106290;0|2|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|21|23|24|25|26|27|28|30|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|51|53|54|55|57|58|59|60|61|63|64|66|68|69
ENSG00000106290;0|2|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|21|23|24|25|26|27|28|30|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|51|53|54|55|57|58|59|60|61|63|64|66|68|69
ENSG00000106290;0|2|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|21|23|24|25|26|27|28|30|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|51|53|54|55|57|58|59|60|61|63|64|66|68|69
ENSG00000106290;0|2|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|21|23|24|25|26|27|28|30|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|51|53|54|55|57|58|59|60|61|63|64|66|68|69
ENSG00000106290;0|2|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|21|23|24|25|26|27|28|30|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|51|53|54|55|57|58|59|60|61|63|64|66|68|69
ENSG00000106290;0|2|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|21|23|24|25|26|27|28|30|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|51|53|54|55|57|58|59|60|61|63|64|66|68|69
ENSG00000106290;0|2|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|21|23|24|25|26|27|28|30|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|51|53|54|55|57|58|59|60|61|63|64|66|68|69
ENSG00000106290;0|2|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|21|23|24|25|26|27|28|30|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|51|53|54|55|57|58|59|60|61|63|64|66|68|69
ENSG00000106290;0|2|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|21|23|24|25|26|27|28|30|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|51|53|54|55|57|58|59|60|61|63|64|66|68|69
ENSG00000106290;0|2|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|21|23|24|25|26|27|28|30|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|51|53|54|55|57|58|59|60|61|63|64|66|68|69
ENSG00000106290;0|2|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|21|23|24|25|26|27|28|30|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|51|53|54|55|57|58|59|60|61|63|64|66|68|69
ENSG00000106290;0|2|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|21|23|24|25|26|27|28|30|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|51|53|54|55|57|58|59|60|61|63|64|66|68|69
ENSDARG00000102998;0|2|4|5|6|7|8|9|10|11|12|13|14|18|19|21|23|24|25|26|27|28|29|30|31|32|33|34|35|38|39|40|41|42|43|44|46|48|49|50|51|52|53|55|56|57|60|64|65|66
ENSDARG00000102998;0|2|4|5|6|7|8|9|10|11|12|13|14|18|19|21|23|24|25|26|27|28|29|30|31|32|33|34|35|38|39|40|41|42|43|44|46|48|49|50|51|52|53|55|56|57|60|64|65|66
ENSDARG00000102998;0|2|4|5|6|7|8|9|10|11|12|13|14|18|19|21|23|24|25|26|27|28|29|30|31|32|33|34|35|38|39|40|41|42|43|44|46|48|49|50|51|52|53|55|56|57|60|64|65|66
FBgn0010417;0|1|2|3|4|5|6|7|8|10|12|14|15|17|18|19|20|21|22|23|24|25|27|28|30|32|34|37|38|40|41|43|49|51|55|57|58|60|61|62|63|64|66|69
