id_transcript;recent-paralogs;ortho-orthologs;para-orthologs;#cluster
ENST00000493322_ENSG00000106290;ENST00000690962_ENSG00000106290|0.915;null;null;0
ENST00000690962_ENSG00000106290;ENST00000493322_ENSG00000106290|0.915&ENST00000344095_ENSG00000106290|0.987&ENST00000452041_ENSG00000106290|0.987&ENST00000453269_ENSG00000106290|0.987&ENST00000472509_ENSG00000106290|0.987;null;null;0
ENST00000440225_ENSG00000106290;ENST00000344095_ENSG00000106290|0.914&ENST00000452041_ENSG00000106290|0.914&ENST00000453269_ENSG00000106290|0.914&ENST00000472509_ENSG00000106290|0.914;null;null;0
FBtr0074941_FBgn0010417;null;ENST00000344095_ENSG00000106290|0.857&ENST00000472509_ENSG00000106290|0.857;null;0
ENSMUST00000048698_ENSMUSG00000036980;ENSMUST00000110936_ENSMUSG00000036980|1.0;ENST00000453269_ENSG00000106290|0.999&ENST00000472509_ENSG00000106290|0.999&ENSDART00000161751_ENSDARG00000102998|0.913;null;0
ENSMUST00000110936_ENSMUSG00000036980;ENSMUST00000048698_ENSMUSG00000036980|1.0;ENST00000453269_ENSG00000106290|0.999&ENST00000472509_ENSG00000106290|0.999&ENSDART00000161751_ENSDARG00000102998|0.913;null;0
ENST00000344095_ENSG00000106290;ENST00000690962_ENSG00000106290|0.987&ENST00000440225_ENSG00000106290|0.914&ENST00000452041_ENSG00000106290|1.0&ENST00000453269_ENSG00000106290|1.0&ENST00000472509_ENSG00000106290|1.0;FBtr0074941_FBgn0010417|0.857;null;0
ENST00000452041_ENSG00000106290;ENST00000690962_ENSG00000106290|0.987&ENST00000440225_ENSG00000106290|0.914&ENST00000344095_ENSG00000106290|1.0&ENST00000453269_ENSG00000106290|1.0&ENST00000472509_ENSG00000106290|1.0;ENSDART00000161751_ENSDARG00000102998|0.914;null;0
ENST00000453269_ENSG00000106290;ENST00000690962_ENSG00000106290|0.987&ENST00000440225_ENSG00000106290|0.914&ENST00000344095_ENSG00000106290|1.0&ENST00000452041_ENSG00000106290|1.0&ENST00000472509_ENSG00000106290|1.0;ENSMUST00000048698_ENSMUSG00000036980|0.999&ENSMUST00000110936_ENSMUSG00000036980|0.999;null;0
ENST00000472509_ENSG00000106290;ENST00000690962_ENSG00000106290|0.987&ENST00000440225_ENSG00000106290|0.914&ENST00000344095_ENSG00000106290|1.0&ENST00000452041_ENSG00000106290|1.0&ENST00000453269_ENSG00000106290|1.0;FBtr0074941_FBgn0010417|0.857&ENSMUST00000048698_ENSMUSG00000036980|0.999&ENSMUST00000110936_ENSMUSG00000036980|0.999;null;0
ENST00000687216_ENSG00000106290;ENST00000688086_ENSG00000106290|1.0&ENST00000689284_ENSG00000106290|1.0&ENST00000690206_ENSG00000106290|0.985;ENSDART00000184967_ENSDARG00000102998|0.912;null;0
ENST00000688086_ENSG00000106290;ENST00000687216_ENSG00000106290|1.0&ENST00000689284_ENSG00000106290|1.0&ENST00000690206_ENSG00000106290|0.985;ENSDART00000184967_ENSDARG00000102998|0.912;null;0
ENST00000689284_ENSG00000106290;ENST00000687216_ENSG00000106290|1.0&ENST00000688086_ENSG00000106290|1.0&ENST00000690206_ENSG00000106290|0.985;null;null;0
ENST00000690206_ENSG00000106290;ENST00000687216_ENSG00000106290|0.985&ENST00000688086_ENSG00000106290|0.985&ENST00000689284_ENSG00000106290|0.985;null;null;0
ENSDART00000163256_ENSDARG00000102998;ENSDART00000161751_ENSDARG00000102998|0.918;null;null;0
ENSDART00000161751_ENSDARG00000102998;ENSDART00000163256_ENSDARG00000102998|0.918&ENSDART00000184967_ENSDARG00000102998|0.97;ENSMUST00000048698_ENSMUSG00000036980|0.913&ENSMUST00000110936_ENSMUSG00000036980|0.913&ENST00000452041_ENSG00000106290|0.914;null;0
ENSDART00000184967_ENSDARG00000102998;ENSDART00000161751_ENSDARG00000102998|0.97;ENST00000687216_ENSG00000106290|0.912&ENST00000688086_ENSG00000106290|0.912;null;0
ENST00000687151_ENSG00000106290;ENST00000686172_ENSG00000106290|1.0&ENST00000687672_ENSG00000106290|1.0;null;null;1
ENST00000686172_ENSG00000106290;ENST00000687151_ENSG00000106290|1.0&ENST00000687672_ENSG00000106290|1.0;null;null;1
ENST00000687672_ENSG00000106290;ENST00000687151_ENSG00000106290|1.0&ENST00000686172_ENSG00000106290|1.0;null;null;1
