cluster;taxon;position;gene;transcripts
red;mus_musculus;6#2;ENSMUSG00000027168;ENSMUST00000111082/ENSMUST00000111087
blue;mus_musculus;6#1;ENSMUSG00000027168;ENSMUST00000090391/ENSMUST00000111086
orphan;mus_musculus;6#0;ENSMUSG00000027168;ENSMUST00000111088
red;rattus_norvegicus;7#2;ENSRNOG00000004410;ENSRNOT00000006302
orphan;rattus_norvegicus;7#1;ENSRNOG00000004410;ENSRNOT00000005882
blue;rattus_norvegicus;7#0;ENSRNOG00000004410;ENSRNOT00000089525
orphan;homo_sapiens;5#2;ENSG00000007372;ENST00000638629
red;homo_sapiens;5#1;ENSG00000007372;ENST00000241001/ENST00000379109/ENST00000639916/ENST00000640610/ENST00000643871
blue;homo_sapiens;5#0;ENSG00000007372;ENST00000419022/ENST00000638914/ENST00000639409/ENST00000640975
red;takifugu_rubripes;3#8;ENSTRUG00000006935;ENSTRUT00000087876
orphan;takifugu_rubripes;3#7;ENSTRUG00000006935;ENSTRUT00000017102
blue;takifugu_rubripes;3#4;ENSTRUG00000006935;ENSTRUT00000081014
