;transcript_4-2_ppan;transcript_4-19_ppan;transcript_4-20_ppan;transcript_4-23_ppan;transcript_4-25_ppan;transcript_4-26_ppan;transcript_4-31_ppan;transcript_4-32_ppan;transcript_4-37_ppan;transcript_5-2_ptro;transcript_5-19_ptro;transcript_5-20_ptro;transcript_5-23_ptro;transcript_5-25_ptro;transcript_5-26_ptro;transcript_5-31_ptro;transcript_5-32_ptro;transcript_6-2_hsap;transcript_6-42_hsap;transcript_6-43_hsap;transcript_6-45_hsap;transcript_7-2_ggor;transcript_8-2_pabe;transcript_8-55_pabe;transcript_8-56_pabe;transcript_8-58_pabe
transcript_4-2_ppan;1.0;0.89;0.946;0.941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
transcript_4-19_ppan;0.89;1.0;0.836;0.831;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
transcript_4-20_ppan;0.946;0.836;1.0;0.995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
transcript_4-23_ppan;0.941;0.831;0.995;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
transcript_4-25_ppan;0.0;0.0;0.0;0.0;1.0;0.88;0.995;0.946;0.946;0.995;0.885;0.951;0.946;1.0;0.88;0.995;0.946;0.995;0.876;0.694;0.99;0.995;0.995;0.848;0.876;0.843
transcript_4-26_ppan;0.0;0.0;0.0;0.0;0.88;1.0;0.884;0.827;0.827;0.885;0.994;0.831;0.835;0.88;1.0;0.884;0.827;0.885;0.775;0.584;0.881;0.885;0.885;0.738;0.775;0.733
transcript_4-31_ppan;0.0;0.0;0.0;0.0;0.995;0.884;1.0;0.942;0.942;0.99;0.889;0.946;0.941;0.995;0.884;1.0;0.942;0.99;0.872;0.69;0.986;0.99;0.99;0.843;0.872;0.839
transcript_4-32_ppan;0.0;0.0;0.0;0.0;0.946;0.827;0.942;1.0;0.99;0.941;0.832;0.995;0.99;0.946;0.827;0.942;1.0;0.941;0.823;0.648;0.937;0.941;0.941;0.794;0.823;0.789
transcript_4-37_ppan;0.0;0.0;0.0;0.0;0.946;0.827;0.942;0.99;1.0;0.941;0.832;0.995;0.99;0.946;0.827;0.942;0.99;0.941;0.831;0.641;0.946;0.941;0.941;0.794;0.831;0.798
transcript_5-2_ptro;0.0;0.0;0.0;0.0;0.995;0.885;0.99;0.941;0.941;1.0;0.89;0.946;0.941;0.995;0.885;0.99;0.941;1.0;0.881;0.699;0.995;1.0;1.0;0.853;0.881;0.848
