transcripts;transcript_4-34_ppan;transcript_5-34_ptro;transcript_4-39_ppan;transcript_4-54_ppan;transcript_5-39_ptro;transcript_4-3_ppan;transcript_5-3_ptro;transcript_6-3_hsap;transcript_7-3_ggor;transcript_8-3_pabe;transcript_4-24_ppan;transcript_5-24_ptro;transcript_7-69_ggor;transcript_8-76_pabe;transcript_5-30_ptro;transcript_4-30_ppan;transcript_8-75_pabe;transcript_4-25_ppan;transcript_5-25_ptro;transcript_4-46_ppan;transcript_5-46_ptro;transcript_5-59_ptro
transcript_4-34_ppan;1.0;1.0;0.985;0.985;0.985;0.928;0.928;0.928;0.928;0.928;0.992;0.992;0.921;0.921;0.935;0.935;0.921;0.611;0.611;0.604;0.604;0.604
transcript_5-34_ptro;1.0;1.0;0.985;0.985;0.985;0.928;0.928;0.928;0.928;0.928;0.992;0.992;0.921;0.921;0.935;0.935;0.921;0.611;0.611;0.604;0.604;0.604
transcript_4-39_ppan;0.985;0.985;1.0;1.0;1.0;0.929;0.929;0.929;0.929;0.929;0.993;0.993;0.922;0.935;0.93;0.93;0.921;0.611;0.611;0.604;0.604;0.604
transcript_4-54_ppan;0.985;0.985;1.0;1.0;1.0;0.929;0.929;0.929;0.929;0.929;0.993;0.993;0.922;0.935;0.93;0.93;0.921;0.611;0.611;0.604;0.604;0.604
transcript_5-39_ptro;0.985;0.985;1.0;1.0;1.0;0.929;0.929;0.929;0.929;0.929;0.993;0.993;0.922;0.935;0.93;0.93;0.921;0.611;0.611;0.604;0.604;0.604
transcript_4-3_ppan;0.928;0.928;0.929;0.929;0.929;1.0;1.0;1.0;1.0;1.0;0.935;0.935;0.994;0.994;0.993;0.993;0.993;0.665;0.665;0.658;0.658;0.658
transcript_5-3_ptro;0.928;0.928;0.929;0.929;0.929;1.0;1.0;1.0;1.0;1.0;0.935;0.935;0.994;0.994;0.993;0.993;0.993;0.665;0.665;0.658;0.658;0.658
transcript_6-3_hsap;0.928;0.928;0.929;0.929;0.929;1.0;1.0;1.0;1.0;1.0;0.935;0.935;0.994;0.994;0.993;0.993;0.993;0.665;0.665;0.658;0.658;0.658
transcript_7-3_ggor;0.928;0.928;0.929;0.929;0.929;1.0;1.0;1.0;1.0;1.0;0.935;0.935;0.994;0.994;0.993;0.993;0.993;0.665;0.665;0.658;0.658;0.658
transcript_8-3_pabe;0.928;0.928;0.929;0.929;0.929;1.0;1.0;1.0;1.0;1.0;0.935;0.935;0.994;0.994;0.993;0.993;0.993;0.665;0.665;0.658;0.658;0.658
transcript_4-24_ppan;0.992;0.992;0.993;0.993;0.993;0.935;0.935;0.935;0.935;0.935;1.0;1.0;0.929;0.929;0.936;0.936;0.928;0.607;0.607;0.6;0.6;0.6
transcript_5-24_ptro;0.992;0.992;0.993;0.993;0.993;0.935;0.935;0.935;0.935;0.935;1.0;1.0;0.929;0.929;0.936;0.936;0.928;0.607;0.607;0.6;0.6;0.6
transcript_7-69_ggor;0.921;0.921;0.922;0.922;0.922;0.994;0.994;0.994;0.994;0.994;0.929;0.929;1.0;0.987;0.986;0.986;0.986;0.658;0.658;0.662;0.662;0.662
transcript_8-76_pabe;0.921;0.921;0.935;0.935;0.935;0.994;0.994;0.994;0.994;0.994;0.929;0.929;0.987;1.0;0.986;0.986;0.986;0.669;0.669;0.662;0.662;0.662
transcript_5-30_ptro;0.935;0.935;0.93;0.93;0.93;0.993;0.993;0.993;0.993;0.993;0.936;0.936;0.986;0.986;1.0;1.0;0.986;0.669;0.669;0.663;0.663;0.663
transcript_4-30_ppan;0.935;0.935;0.93;0.93;0.93;0.993;0.993;0.993;0.993;0.993;0.936;0.936;0.986;0.986;1.0;1.0;0.986;0.669;0.669;0.663;0.663;0.663
transcript_8-75_pabe;0.921;0.921;0.921;0.921;0.921;0.993;0.993;0.993;0.993;0.993;0.928;0.928;0.986;0.986;0.986;0.986;1.0;0.657;0.657;0.651;0.651;0.651
transcript_4-25_ppan;0.611;0.611;0.611;0.611;0.611;0.665;0.665;0.665;0.665;0.665;0.607;0.607;0.658;0.669;0.669;0.669;0.657;1.0;1.0;0.99;0.99;0.99
transcript_5-25_ptro;0.611;0.611;0.611;0.611;0.611;0.665;0.665;0.665;0.665;0.665;0.607;0.607;0.658;0.669;0.669;0.669;0.657;1.0;1.0;0.99;0.99;0.99
transcript_4-46_ppan;0.604;0.604;0.604;0.604;0.604;0.658;0.658;0.658;0.658;0.658;0.6;0.6;0.662;0.662;0.663;0.663;0.651;0.99;0.99;1.0;1.0;1.0
transcript_5-46_ptro;0.604;0.604;0.604;0.604;0.604;0.658;0.658;0.658;0.658;0.658;0.6;0.6;0.662;0.662;0.663;0.663;0.651;0.99;0.99;1.0;1.0;1.0
transcript_5-59_ptro;0.604;0.604;0.604;0.604;0.604;0.658;0.658;0.658;0.658;0.658;0.6;0.6;0.662;0.662;0.663;0.663;0.651;0.99;0.99;1.0;1.0;1.0
