id_transcript;recent-paralogs;ortho-orthologs;para-orthologs;#cluster
transcript_6-4_hsap;null;transcript_5-4_ptro|1.0&transcript_8-4_pabe|1.0&transcript_4-4_ppan|1.0&transcript_7-4_ggor|1.0;null;0
transcript_5-4_ptro;null;transcript_6-4_hsap|1.0&transcript_8-4_pabe|1.0&transcript_4-4_ppan|1.0&transcript_7-4_ggor|1.0;null;0
transcript_8-4_pabe;null;transcript_6-4_hsap|1.0&transcript_5-4_ptro|1.0&transcript_4-4_ppan|1.0&transcript_7-4_ggor|1.0;null;0
transcript_4-4_ppan;null;transcript_6-4_hsap|1.0&transcript_5-4_ptro|1.0&transcript_8-4_pabe|1.0&transcript_7-4_ggor|1.0;null;0
transcript_7-4_ggor;null;transcript_6-4_hsap|1.0&transcript_5-4_ptro|1.0&transcript_8-4_pabe|1.0&transcript_4-4_ppan|1.0;null;0
transcript_5-16_ptro;null;transcript_8-39_pabe|1.0&transcript_4-16_ppan|1.0;null;1
transcript_8-39_pabe;null;transcript_5-16_ptro|1.0&transcript_4-16_ppan|1.0;null;1
transcript_4-16_ppan;null;transcript_5-16_ptro|1.0&transcript_8-39_pabe|1.0;null;1
transcript_4-12_ppan;null;transcript_5-12_ptro|1.0;null;2
transcript_5-12_ptro;null;transcript_4-12_ppan|1.0;null;2
transcript_7-32_ggor;null;null;null;3
transcript_4-15_ppan;null;transcript_5-15_ptro|1.0;null;4
transcript_5-15_ptro;null;transcript_4-15_ppan|1.0;null;4
transcript_4-13_ppan;null;transcript_5-13_ptro|1.0;null;5
transcript_5-13_ptro;null;transcript_4-13_ppan|1.0;null;5
transcript_4-17_ppan;null;transcript_5-17_ptro|1.0;null;6
transcript_5-17_ptro;null;transcript_4-17_ppan|1.0;null;6
