Species,Name,TranscriptID,Source,ExperimentSource,Biotype,Flags,Version
homo_sapiens,PAUPAR-208,ENST00000643436,havana,havana_homo_sapiens,lncRNA,NA,1
homo_sapiens,PAUPAR-217,ENST00000646959,havana,havana_homo_sapiens,lncRNA,NA,1
homo_sapiens,PAUPAR-215,ENST00000645942,havana,havana_homo_sapiens,lncRNA,NA,1
homo_sapiens,PAUPAR-204,ENST00000642237,havana,havana_homo_sapiens,lncRNA,NA,1
homo_sapiens,PAUPAR-212,ENST00000644607,havana,havana_homo_sapiens,lncRNA,NA,1
homo_sapiens,PAUPAR-216,ENST00000646221,havana,havana_homo_sapiens,lncRNA,NA,1
homo_sapiens,PAUPAR-209,ENST00000643671,havana,havana_homo_sapiens,lncRNA,NA,1
homo_sapiens,PAUPAR-211,ENST00000643931,havana,havana_homo_sapiens,lncRNA,NA,1
homo_sapiens,PAUPAR-206,ENST00000642614,havana,havana_homo_sapiens,lncRNA,NA,1
homo_sapiens,PAUPAR-207,ENST00000642818,havana,havana_homo_sapiens,lncRNA,NA,1
homo_sapiens,PAUPAR-214,ENST00000645848,havana,havana_homo_sapiens,lncRNA,NA,1
homo_sapiens,PAUPAR-201,ENST00000506388,havana,havana_homo_sapiens,lncRNA,1,2
homo_sapiens,PAUPAR-213,ENST00000645824,havana,havana_homo_sapiens,lncRNA,NA,1
homo_sapiens,NA,ENST00000530348,havana,havana_homo_sapiens,protein_coding,4,5
homo_sapiens,NA,ENST00000532942,havana,havana_homo_sapiens,protein_coding,2,5
homo_sapiens,ELP4-229,ENST00000640961,ensembl_havana,ensembl_havana_transcript_homo_sapiens,protein_coding,1 (assigned to previous version 1),2
homo_sapiens,PAX6-230,ENST00000606377,havana,havana_homo_sapiens,protein_coding,5 (assigned to previous version 6),7
homo_sapiens,PAX6-253,ENST00000639386,havana,havana_homo_sapiens,protein_coding,5 (assigned to previous version 1),2
homo_sapiens,PAX6-209,ENST00000419022,havana,havana_homo_sapiens,protein_coding,1,6
homo_sapiens,PAX6-281,ENST00000643871,ensembl_havana,ensembl_havana_transcript_homo_sapiens,protein_coding,NA,1
homo_sapiens,PAX6-243,ENST00000638914,ensembl_havana,ensembl_havana_transcript_homo_sapiens,protein_coding,1 (assigned to previous version 1),3
homo_sapiens,PAX6-271,ENST00000640610,havana,havana_homo_sapiens,protein_coding,1,1
homo_sapiens,PAX6-208,ENST00000379132,havana,havana_homo_sapiens,protein_coding,5,8
homo_sapiens,PAX6-203,ENST00000379109,havana,havana_homo_sapiens,protein_coding,2,7
homo_sapiens,PAX6-207,ENST00000379129,havana,havana_homo_sapiens,protein_coding,5,7
homo_sapiens,PAX6-257,ENST00000639916,havana,havana_homo_sapiens,protein_coding,1,1
homo_sapiens,PAX6-268,ENST00000640368,havana,havana_homo_sapiens,protein_coding,5 (assigned to previous version 1),2
homo_sapiens,PAX6-235,ENST00000638685,havana,havana_homo_sapiens,protein_coding,5,1
homo_sapiens,PAX6-202,ENST00000379107,havana,havana_homo_sapiens,protein_coding,5,7
homo_sapiens,PAX6-255,ENST00000639409,ensembl_havana,ensembl_havana_transcript_homo_sapiens,protein_coding,1,1
homo_sapiens,PAX6-280,ENST00000640975,havana,havana_homo_sapiens,protein_coding,1,1
homo_sapiens,PAX6-244,ENST00000638963,havana,havana_homo_sapiens,protein_coding,5,1
homo_sapiens,PAX6-245,ENST00000638965,havana,havana_homo_sapiens,protein_coding,5,1
homo_sapiens,PAX6-201,ENST00000241001,havana,havana_homo_sapiens,protein_coding,1,13
homo_sapiens,PAX6-216,ENST00000474783,havana,havana_homo_sapiens,retained_intron,5,2
homo_sapiens,PAX6-234,ENST00000638629,havana,havana_homo_sapiens,protein_coding,2,1
homo_sapiens,PAX6-256,ENST00000639548,havana,havana_homo_sapiens,protein_coding,5,1
homo_sapiens,PAX6-262,ENST00000640125,havana,havana_homo_sapiens,protein_coding,5,1
homo_sapiens,PAX6-217,ENST00000481563,havana,havana_homo_sapiens,protein_coding,5,6
homo_sapiens,PAX6-236,ENST00000638696,havana,havana_homo_sapiens,protein_coding,5,1
homo_sapiens,PAX6-237,ENST00000638755,havana,havana_homo_sapiens,protein_coding,5,1
homo_sapiens,PAX6-214,ENST00000470027,havana,havana_homo_sapiens,retained_intron,2,7
homo_sapiens,PAX6-266,ENST00000640287,havana,havana_homo_sapiens,protein_coding,1,1
homo_sapiens,PAX6-227,ENST00000533333,havana,havana_homo_sapiens,retained_intron,2,5
homo_sapiens,PAX6-272,ENST00000640613,havana,havana_homo_sapiens,protein_coding,5,1
homo_sapiens,PAX6-210,ENST00000423822,havana,havana_homo_sapiens,protein_coding,5,7
homo_sapiens,PAX6-249,ENST00000639061,havana,havana_homo_sapiens,protein_coding,5,1
homo_sapiens,PAX6-276,ENST00000640766,havana,havana_homo_sapiens,protein_coding,5,1
homo_sapiens,PAX6-279,ENST00000640963,havana,havana_homo_sapiens,protein_coding,5,1
homo_sapiens,PAX6-215,ENST00000471303,havana,havana_homo_sapiens,retained_intron,5,6
homo_sapiens,PAX6-204,ENST00000379111,havana,havana_homo_sapiens,protein_coding,5,7
homo_sapiens,PAX6-260,ENST00000639950,havana,havana_homo_sapiens,protein_coding,5,1
homo_sapiens,PAX6-213,ENST00000464174,havana,havana_homo_sapiens,protein_coding_CDS_not_defined,5,6
homo_sapiens,PAX6-218,ENST00000494377,havana,havana_homo_sapiens,retained_intron,5,7
homo_sapiens,PAX6-231,ENST00000638250,havana,havana_homo_sapiens,protein_coding,5,1
homo_sapiens,PAX6-206,ENST00000379123,havana,havana_homo_sapiens,protein_coding,5,10
homo_sapiens,PAX6-261,ENST00000640038,havana,havana_homo_sapiens,retained_intron,2,1
homo_sapiens,PAX6-219,ENST00000524853,havana,havana_homo_sapiens,protein_coding,5,6
homo_sapiens,PAX6-278,ENST00000640872,havana,havana_homo_sapiens,protein_coding,1,1
