GeneID	TranscriptID	ProteinID	Strand	ExonID	ExonRegionStart	ExonRegionEnd	ExonRank	cDNA_CodingStart	cDNA_CodingEnd	GenomicCodingStart	GenomicCodingEnd	StartPhase	EndPhase
ENSG00000007372	ENST00000606377	ENSP00000480026	-1	ENSE00003807061	31810828	31811121	1					-1	-1
ENSG00000007372	ENST00000606377	ENSP00000480026	-1	ENSE00001098662	31806849	31806925	2					-1	-1
ENSG00000007372	ENST00000606377	ENSP00000480026	-1	ENSE00002523992	31806402	31806462	3	423	432	31806402	31806411	-1	1
ENSG00000007372	ENST00000606377	ENSP00000480026	-1	ENSE00003602163	31802704	31802834	4	433	563	31802704	31802834	1	0
ENSG00000007372	ENST00000606377	ENSP00000480026	-1	ENSE00003512677	31801871	31801912	5	564	605	31801871	31801912	0	0
ENSG00000007372	ENST00000606377	ENSP00000480026	-1	ENSE00003523920	31801561	31801776	6	606	821	31801561	31801776	0	0
ENSG00000007372	ENST00000606377	ENSP00000480026	-1	ENSE00003695229	31800691	31800856	7	822	987	31800691	31800856	0	1
ENSG00000007372	ENST00000606377	ENSP00000480026	-1	ENSE00003698739	31794630	31794788	8	988	1146	31794630	31794788	1	1
ENSG00000007372	ENST00000606377	ENSP00000480026	-1	ENSE00003696657	31794032	31794114	9	1147	1229	31794032	31794114	1	0
ENSG00000007372	ENST00000606377	ENSP00000480026	-1	ENSE00003697187	31793652	31793802	10	1230	1380	31793652	31793802	0	1
ENSG00000007372	ENST00000606377	ENSP00000480026	-1	ENSE00003701932	31793438	31793553	11	1381	1496	31793438	31793553	1	0
ENSG00000007372	ENST00000606377	ENSP00000480026	-1	ENSE00003700637	31790710	31790860	12	1497	1647	31790710	31790860	0	1
ENSG00000007372	ENST00000606377	ENSP00000480026	-1	ENSE00003805250	31784779	31790019	13	1648	1733	31789934	31790019	1	-1
ENSG00000007372	ENST00000639386	ENSP00000492658	-1	ENSE00003698739	31794630	31794788	5	622	780	31794630	31794788	1	1
ENSG00000007372	ENST00000639386	ENSP00000492658	-1	ENSE00003696657	31794032	31794114	6	781	863	31794032	31794114	1	0
ENSG00000007372	ENST00000639386	ENSP00000492658	-1	ENSE00003697187	31793652	31793802	7	864	1014	31793652	31793802	0	1
ENSG00000007372	ENST00000639386	ENSP00000492658	-1	ENSE00003701932	31793438	31793553	8	1015	1130	31793438	31793553	1	0
ENSG00000007372	ENST00000639386	ENSP00000492658	-1	ENSE00003700637	31790710	31790860	9	1131	1281	31790710	31790860	0	1
ENSG00000007372	ENST00000639386	ENSP00000492658	-1	ENSE00003801816	31803952	31804059	1					-1	-1
ENSG00000007372	ENST00000639386	ENSP00000492658	-1	ENSE00003513121	31802704	31802834	2					-1	-1
ENSG00000007372	ENST00000639386	ENSP00000492658	-1	ENSE00003652899	31801561	31801776	3					-1	-1
ENSG00000007372	ENST00000639386	ENSP00000492658	-1	ENSE00001912051	31800691	31800856	4	507	621	31800691	31800805	-1	1
ENSG00000007372	ENST00000639386	ENSP00000492658	-1	ENSE00001213516	31784792	31790019	10	1282	1367	31789934	31790019	1	-1
ENSG00000007372	ENST00000419022	ENSP00000404100	-1	ENSE00001098662	31806849	31806925	3					-1	-1
ENSG00000007372	ENST00000419022	ENSP00000404100	-1	ENSE00002523992	31806402	31806462	4	436	445	31806402	31806411	-1	1
ENSG00000007372	ENST00000419022	ENSP00000404100	-1	ENSE00003602163	31802704	31802834	5	446	576	31802704	31802834	1	0
ENSG00000007372	ENST00000419022	ENSP00000404100	-1	ENSE00003512677	31801871	31801912	6	577	618	31801871	31801912	0	0
ENSG00000007372	ENST00000419022	ENSP00000404100	-1	ENSE00003523920	31801561	31801776	7	619	834	31801561	31801776	0	0
ENSG00000007372	ENST00000419022	ENSP00000404100	-1	ENSE00003695229	31800691	31800856	8	835	1000	31800691	31800856	0	1
ENSG00000007372	ENST00000419022	ENSP00000404100	-1	ENSE00003698739	31794630	31794788	9	1001	1159	31794630	31794788	1	1
ENSG00000007372	ENST00000419022	ENSP00000404100	-1	ENSE00003696657	31794032	31794114	10	1160	1242	31794032	31794114	1	0
ENSG00000007372	ENST00000419022	ENSP00000404100	-1	ENSE00003697187	31793652	31793802	11	1243	1393	31793652	31793802	0	1
ENSG00000007372	ENST00000419022	ENSP00000404100	-1	ENSE00003701932	31793438	31793553	12	1394	1509	31793438	31793553	1	0
ENSG00000007372	ENST00000419022	ENSP00000404100	-1	ENSE00003700637	31790710	31790860	13	1510	1660	31790710	31790860	0	1
ENSG00000007372	ENST00000419022	ENSP00000404100	-1	ENSE00001213516	31784792	31790019	14	1661	1746	31789934	31790019	1	-1
ENSG00000007372	ENST00000419022	ENSP00000404100	-1	ENSE00001432138	31811213	31811331	1					-1	-1
ENSG00000007372	ENST00000419022	ENSP00000404100	-1	ENSE00001004114	31810828	31811015	2					-1	-1
ENSG00000007372	ENST00000643871	ENSP00000495109	-1	ENSE00001098662	31806849	31806925	3					-1	-1
ENSG00000007372	ENST00000643871	ENSP00000495109	-1	ENSE00002523992	31806402	31806462	4	534	543	31806402	31806411	-1	1
ENSG00000007372	ENST00000643871	ENSP00000495109	-1	ENSE00003602163	31802704	31802834	5	544	674	31802704	31802834	1	0
ENSG00000007372	ENST00000643871	ENSP00000495109	-1	ENSE00003523920	31801561	31801776	6	675	890	31801561	31801776	0	0
ENSG00000007372	ENST00000643871	ENSP00000495109	-1	ENSE00003695229	31800691	31800856	7	891	1056	31800691	31800856	0	1
ENSG00000007372	ENST00000643871	ENSP00000495109	-1	ENSE00003698739	31794630	31794788	8	1057	1215	31794630	31794788	1	1
ENSG00000007372	ENST00000643871	ENSP00000495109	-1	ENSE00003696657	31794032	31794114	9	1216	1298	31794032	31794114	1	0
ENSG00000007372	ENST00000643871	ENSP00000495109	-1	ENSE00003697187	31793652	31793802	10	1299	1449	31793652	31793802	0	1
ENSG00000007372	ENST00000643871	ENSP00000495109	-1	ENSE00003701932	31793438	31793553	11	1450	1565	31793438	31793553	1	0
ENSG00000007372	ENST00000643871	ENSP00000495109	-1	ENSE00003700637	31790710	31790860	12	1566	1716	31790710	31790860	0	1
ENSG00000007372	ENST00000643871	ENSP00000495109	-1	ENSE00001213516	31784792	31790019	13	1717	1802	31789934	31790019	1	-1
ENSG00000007372	ENST00000643871	ENSP00000495109	-1	ENSE00001004114	31810828	31811015	2					-1	-1
ENSG00000007372	ENST00000643871	ENSP00000495109	-1	ENSE00003804963	31811115	31811331	1					-1	-1
ENSG00000007372	ENST00000638914	ENSP00000492315	-1	ENSE00001098662	31806849	31806925	3					-1	-1
ENSG00000007372	ENST00000638914	ENSP00000492315	-1	ENSE00002523992	31806402	31806462	4	470	479	31806402	31806411	-1	1
ENSG00000007372	ENST00000638914	ENSP00000492315	-1	ENSE00003602163	31802704	31802834	5	480	610	31802704	31802834	1	0
ENSG00000007372	ENST00000638914	ENSP00000492315	-1	ENSE00003512677	31801871	31801912	6	611	652	31801871	31801912	0	0
ENSG00000007372	ENST00000638914	ENSP00000492315	-1	ENSE00003523920	31801561	31801776	7	653	868	31801561	31801776	0	0
ENSG00000007372	ENST00000638914	ENSP00000492315	-1	ENSE00003695229	31800691	31800856	8	869	1034	31800691	31800856	0	1
ENSG00000007372	ENST00000638914	ENSP00000492315	-1	ENSE00003698739	31794630	31794788	9	1035	1193	31794630	31794788	1	1
ENSG00000007372	ENST00000638914	ENSP00000492315	-1	ENSE00003696657	31794032	31794114	10	1194	1276	31794032	31794114	1	0
ENSG00000007372	ENST00000638914	ENSP00000492315	-1	ENSE00003697187	31793652	31793802	11	1277	1427	31793652	31793802	0	1
