transcripts;transcript_4-4_ppan;transcript_4-12_ppan;transcript_4-13_ppan;transcript_4-15_ppan;transcript_4-16_ppan;transcript_4-17_ppan;transcript_5-4_ptro;transcript_5-12_ptro;transcript_5-13_ptro;transcript_5-15_ptro;transcript_5-16_ptro;transcript_5-17_ptro;transcript_6-4_hsap;transcript_7-4_ggor;transcript_7-32_ggor;transcript_8-4_pabe;transcript_8-39_pabe
transcript_4-4_ppan;1.0;0.826;0.64;0.99;0.991;0.631;1.0;0.826;0.64;0.99;0.991;0.631;1.0;1.0;0.99;1.0;0.991
transcript_4-12_ppan;0.826;1.0;0.466;0.816;0.833;0.457;0.826;1.0;0.466;0.816;0.833;0.457;0.826;0.826;0.816;0.826;0.833
transcript_4-13_ppan;0.64;0.466;1.0;0.63;0.631;0.987;0.64;0.466;1.0;0.63;0.631;0.987;0.64;0.64;0.646;0.64;0.631
transcript_4-15_ppan;0.99;0.816;0.63;1.0;0.982;0.622;0.99;0.816;0.63;1.0;0.982;0.622;0.99;0.99;0.981;0.99;0.982
transcript_4-16_ppan;0.991;0.833;0.631;0.982;1.0;0.623;0.991;0.833;0.631;0.982;1.0;0.623;0.991;0.991;0.982;0.991;1.0
transcript_4-17_ppan;0.631;0.457;0.987;0.622;0.623;1.0;0.631;0.457;0.987;0.622;0.623;1.0;0.631;0.631;0.637;0.631;0.623
transcript_5-4_ptro;1.0;0.826;0.64;0.99;0.991;0.631;1.0;0.826;0.64;0.99;0.991;0.631;1.0;1.0;0.99;1.0;0.991
transcript_5-12_ptro;0.826;1.0;0.466;0.816;0.833;0.457;0.826;1.0;0.466;0.816;0.833;0.457;0.826;0.826;0.816;0.826;0.833
transcript_5-13_ptro;0.64;0.466;1.0;0.63;0.631;0.987;0.64;0.466;1.0;0.63;0.631;0.987;0.64;0.64;0.646;0.64;0.631
transcript_5-15_ptro;0.99;0.816;0.63;1.0;0.982;0.622;0.99;0.816;0.63;1.0;0.982;0.622;0.99;0.99;0.981;0.99;0.982
transcript_5-16_ptro;0.991;0.833;0.631;0.982;1.0;0.623;0.991;0.833;0.631;0.982;1.0;0.623;0.991;0.991;0.982;0.991;1.0
transcript_5-17_ptro;0.631;0.457;0.987;0.622;0.623;1.0;0.631;0.457;0.987;0.622;0.623;1.0;0.631;0.631;0.637;0.631;0.623
transcript_6-4_hsap;1.0;0.826;0.64;0.99;0.991;0.631;1.0;0.826;0.64;0.99;0.991;0.631;1.0;1.0;0.99;1.0;0.991
transcript_7-4_ggor;1.0;0.826;0.64;0.99;0.991;0.631;1.0;0.826;0.64;0.99;0.991;0.631;1.0;1.0;0.99;1.0;0.991
transcript_7-32_ggor;0.99;0.816;0.646;0.981;0.982;0.637;0.99;0.816;0.646;0.981;0.982;0.637;0.99;0.99;1.0;0.99;0.982
transcript_8-4_pabe;1.0;0.826;0.64;0.99;0.991;0.631;1.0;0.826;0.64;0.99;0.991;0.631;1.0;1.0;0.99;1.0;0.991
transcript_8-39_pabe;0.991;0.833;0.631;0.982;1.0;0.623;0.991;0.833;0.631;0.982;1.0;0.623;0.991;0.991;0.982;0.991;1.0
