id_transcript;blocks
ENSMUST00000112846_ENSMUSG00000046709;1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|22|23|24|25|27
ENSTRUT00000060459_ENSTRUG00000013056;1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|20|22|23|24|25|26|27|28|29
ENSXETT00000090005_ENSXETG00000006199;1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|27|28
ENSMUST00000128869_ENSMUSG00000046709;1|9|11|12|14|16
ENSDART00000162834_ENSDARG00000102730;1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|18|20|21|22|23|24|25|27|28
ENSDART00000161289_ENSDARG00000102730;0|1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|18|20|21|22|23|24|25|27|28
ENSDART00000160711_ENSDARG00000102730;1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|18|20|21|22|23|24|25|26|27|28|29
ENSTRUT00000090372_ENSTRUG00000013056;1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37
ENST00000641102_ENSG00000109339;1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|22|23|24|25|26|27|28|29|30|31|33|35|37|38
ENST00000641050_ENSG00000109339;1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|22|23|24|25|27|28
ENST00000641170_ENSG00000109339;1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|22|23|24|25|27|28
ENST00000641777_ENSG00000109339;1|2|3|4|6|7|8|9|10|11
ENST00000641553_ENSG00000109339;1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|22|23|24|25|26|27|28|29
ENST00000641718_ENSG00000109339;1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|22|23|24|25|26|27|28|29
ENST00000641903_ENSG00000109339;8|9|10|11|12|13|14|15|16|17|22|23|24|25|26|27|28|29|30
ENSMUST00000086854_ENSMUSG00000046709;1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|22|23|24|25|26|27|28|29
ENSMUST00000112847_ENSMUSG00000046709;1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|22|23|24|25|26|27|28|29
ENSMUST00000170792_ENSMUSG00000046709;1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|22|23|24|25|26|27|28|29
ENSXETT00000091467_ENSXETG00000006199;8|9|10|11|12|13|14|15|16|17|22|24
ENSTRUT00000064587_ENSTRUG00000013056;1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|22|23|24|25|26|27|28|29
ENSTRUT00000086504_ENSTRUG00000013056;1|3|7|8|9|10|11|12|13|14|15|16|17|22|23|24|25|26|27|28|29
ENSXETT00000086349_ENSXETG00000006199;0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|22|23|24|25|27|28
