id_transcript;blocks
transcript_4-9_ppan;0|1|2|3|4|5|6|7|8|9|10|11|12|13|14
transcript_4-15_ppan;0|1|2|3|4|5|6|7|8|9|10|12|13|14
transcript_4-19_ppan;0|1|2|3|4|5|7|8|9|11|12|13|14
transcript_4-30_ppan;0|1|2|3|4|5|6|7|8|9|10|11|12|14
transcript_4-32_ppan;0|1|2|3|4|5|6|8|9|10|12|13|14
transcript_4-34_ppan;0|1|2|3|5|6|8|9|10|12|13|14
transcript_4-38_ppan;0|1|2|3|4|5|6|7|8|10|11|12|14
transcript_4-39_ppan;0|1|2|3|5|7|8|9|11|12|13|14
transcript_5-9_ptro;0|1|2|3|4|5|6|7|8|9|10|11|12|13|14
transcript_5-15_ptro;0|1|2|3|4|5|6|7|8|9|10|12|13|14
transcript_5-19_ptro;0|1|2|3|4|5|7|8|9|11|12|13|14
transcript_5-30_ptro;0|1|2|3|4|5|6|7|8|9|10|11|12|14
transcript_5-32_ptro;0|1|2|3|4|5|6|8|9|10|12|13|14
transcript_5-34_ptro;0|1|2|3|5|6|8|9|10|12|13|14
transcript_5-38_ptro;0|1|2|3|4|5|6|7|8|10|11|12|14
transcript_5-39_ptro;0|1|2|3|5|7|8|9|11|12|13|14
transcript_6-9_hsap;0|1|2|3|4|5|6|7|8|9|10|11|12|13|14
transcript_6-14_hsap;0|1|2|3|4|5|6|7|8|9|11|12|13|14
transcript_6-15_hsap;0|1|2|3|4|5|6|7|8|9|10|12|13|14
transcript_6-19_hsap;0|1|2|3|4|5|7|8|9|11|12|13|14
transcript_6-49_hsap;0|2|3|4|5|6|7|8|9|11|12|13|14
transcript_6-50_hsap;0|1|3|4|5|6|7|8|9|11|12|13|14
