transcripts;transcript_4-7_ppan;transcript_4-9_ppan;transcript_4-10_ppan;transcript_4-13_ppan;transcript_4-16_ppan;transcript_4-17_ppan;transcript_4-18_ppan;transcript_4-24_ppan;transcript_4-27_ppan;transcript_4-28_ppan;transcript_4-30_ppan;transcript_5-7_ptro;transcript_5-9_ptro;transcript_5-10_ptro;transcript_5-13_ptro;transcript_5-16_ptro;transcript_5-17_ptro;transcript_5-18_ptro;transcript_5-24_ptro;transcript_5-27_ptro;transcript_5-28_ptro;transcript_5-30_ptro;transcript_6-7_hsap;transcript_6-9_hsap;transcript_6-10_hsap;transcript_6-13_hsap
transcript_4-7_ppan;1.0;0.99;0.943;0.995;0.943;0.933;0.671;0.666;0.995;0.661;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
transcript_4-9_ppan;0.99;1.0;0.933;0.985;0.933;0.942;0.661;0.655;0.985;0.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
transcript_4-10_ppan;0.943;0.933;1.0;0.938;1.0;0.989;0.712;0.706;0.938;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
transcript_4-13_ppan;0.995;0.985;0.938;1.0;0.938;0.928;0.666;0.661;0.99;0.655;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
transcript_4-16_ppan;0.943;0.933;1.0;0.938;1.0;0.989;0.712;0.706;0.938;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
transcript_4-17_ppan;0.933;0.942;0.989;0.928;0.989;1.0;0.701;0.695;0.928;0.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
transcript_4-18_ppan;0.671;0.661;0.712;0.666;0.712;0.701;1.0;0.992;0.666;0.984;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
transcript_4-24_ppan;0.666;0.655;0.706;0.661;0.706;0.695;0.992;1.0;0.661;0.992;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
transcript_4-27_ppan;0.995;0.985;0.938;0.99;0.938;0.928;0.666;0.661;1.0;0.664;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
transcript_4-28_ppan;0.661;0.65;0.7;0.655;0.7;0.69;0.984;0.992;0.664;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
transcript_4-30_ppan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.99;0.98;0.933;0.995;0.933;0.923;0.661;0.655;0.985;0.65;1.0;0.99;0.98;0.933;0.995
transcript_5-7_ptro;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.99;1.0;0.99;0.943;0.995;0.943;0.933;0.671;0.666;0.995;0.661;0.99;1.0;0.99;0.943;0.995
transcript_5-9_ptro;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.98;0.99;1.0;0.933;0.985;0.933;0.942;0.661;0.655;0.985;0.65;0.98;0.99;1.0;0.933;0.985
transcript_5-10_ptro;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.933;0.943;0.933;1.0;0.938;1.0;0.989;0.712;0.706;0.938;0.7;0.933;0.943;0.933;1.0;0.938
transcript_5-13_ptro;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.995;0.995;0.985;0.938;1.0;0.938;0.928;0.666;0.661;0.99;0.655;0.995;0.995;0.985;0.938;1.0
transcript_5-16_ptro;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.933;0.943;0.933;1.0;0.938;1.0;0.989;0.712;0.706;0.938;0.7;0.933;0.943;0.933;1.0;0.938
transcript_5-17_ptro;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.923;0.933;0.942;0.989;0.928;0.989;1.0;0.701;0.695;0.928;0.69;0.923;0.933;0.942;0.989;0.928
transcript_5-18_ptro;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.661;0.671;0.661;0.712;0.666;0.712;0.701;1.0;0.992;0.666;0.984;0.661;0.671;0.661;0.712;0.666
transcript_5-24_ptro;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.655;0.666;0.655;0.706;0.661;0.706;0.695;0.992;1.0;0.661;0.992;0.655;0.666;0.655;0.706;0.661
transcript_5-27_ptro;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.985;0.995;0.985;0.938;0.99;0.938;0.928;0.666;0.661;1.0;0.664;0.985;0.995;0.985;0.938;0.99
transcript_5-28_ptro;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.65;0.661;0.65;0.7;0.655;0.7;0.69;0.984;0.992;0.664;1.0;0.65;0.661;0.65;0.7;0.655
transcript_5-30_ptro;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.99;0.98;0.933;0.995;0.933;0.923;0.661;0.655;0.985;0.65;1.0;0.99;0.98;0.933;0.995
transcript_6-7_hsap;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.99;1.0;0.99;0.943;0.995;0.943;0.933;0.671;0.666;0.995;0.661;0.99;1.0;0.99;0.943;0.995
transcript_6-9_hsap;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.98;0.99;1.0;0.933;0.985;0.933;0.942;0.661;0.655;0.985;0.65;0.98;0.99;1.0;0.933;0.985
transcript_6-10_hsap;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.933;0.943;0.933;1.0;0.938;1.0;0.989;0.712;0.706;0.938;0.7;0.933;0.943;0.933;1.0;0.938
transcript_6-13_hsap;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.995;0.995;0.985;0.938;1.0;0.938;0.928;0.666;0.661;0.99;0.655;0.995;0.995;0.985;0.938;1.0
