id_transcript;recent-paralogs;ortho-orthologs;para-orthologs;#cluster
ENSMUST00000111087_ENSMUSG00000027168;ENSMUST00000111082_ENSMUSG00000027168|1.0;ENSRNOT00000006302_ENSRNOG00000004410|0.968;ENST00000241001_ENSG00000007372|1.0&ENST00000379109_ENSG00000007372|1.0;0
ENSRNOT00000006302_ENSRNOG00000004410;null;ENSMUST00000111087_ENSMUSG00000027168|0.968&ENSTRUT00000087876_ENSTRUG00000006935|0.977&ENSMUST00000111082_ENSMUSG00000027168|0.968;ENST00000379109_ENSG00000007372|0.968;0
ENSTRUT00000087876_ENSTRUG00000006935;null;ENSRNOT00000006302_ENSRNOG00000004410|0.977;null;0
ENST00000241001_ENSG00000007372;ENST00000379109_ENSG00000007372|1.0;null;ENSMUST00000111087_ENSMUSG00000027168|1.0&ENSMUST00000111082_ENSMUSG00000027168|1.0;0
ENST00000379109_ENSG00000007372;ENST00000241001_ENSG00000007372|1.0;null;ENSMUST00000111087_ENSMUSG00000027168|1.0&ENSRNOT00000006302_ENSRNOG00000004410|0.968&ENSMUST00000111082_ENSMUSG00000027168|1.0;0
ENSMUST00000111082_ENSMUSG00000027168;ENSMUST00000111087_ENSMUSG00000027168|1.0;ENSRNOT00000006302_ENSRNOG00000004410|0.968;ENST00000241001_ENSG00000007372|1.0&ENST00000379109_ENSG00000007372|1.0;0
ENST00000638629_ENSG00000007372;null;null;null;1
ENST00000419022_ENSG00000007372;ENST00000638914_ENSG00000007372|1.0;null;ENSMUST00000111086_ENSMUSG00000027168|1.0&ENSRNOT00000089525_ENSRNOG00000004410|1.0&ENSMUST00000090391_ENSMUSG00000027168|1.0;2
ENSMUST00000111086_ENSMUSG00000027168;ENSMUST00000090391_ENSMUSG00000027168|1.0;ENSRNOT00000089525_ENSRNOG00000004410|1.0;ENST00000419022_ENSG00000007372|1.0&ENST00000638914_ENSG00000007372|1.0;2
ENSRNOT00000089525_ENSRNOG00000004410;null;ENSMUST00000111086_ENSMUSG00000027168|1.0&ENSMUST00000090391_ENSMUSG00000027168|1.0;ENST00000419022_ENSG00000007372|1.0&ENST00000638914_ENSG00000007372|1.0;2
ENST00000638914_ENSG00000007372;ENST00000419022_ENSG00000007372|1.0;null;ENSMUST00000111086_ENSMUSG00000027168|1.0&ENSRNOT00000089525_ENSRNOG00000004410|1.0&ENSMUST00000090391_ENSMUSG00000027168|1.0;2
ENSMUST00000090391_ENSMUSG00000027168;ENSMUST00000111086_ENSMUSG00000027168|1.0;ENSRNOT00000089525_ENSRNOG00000004410|1.0;ENST00000419022_ENSG00000007372|1.0&ENST00000638914_ENSG00000007372|1.0;2
ENSMUST00000111088_ENSMUSG00000027168;null;null;null;3
