id_gene;blocks
ENSMUSG00000027168;0|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28
ENSMUSG00000027168;0|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28
ENSMUSG00000027168;0|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28
ENSMUSG00000027168;0|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28
ENSMUSG00000027168;0|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28
ENSRNOG00000004410;0|1|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|20|22|23|24|26|28
ENSRNOG00000004410;0|1|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|20|22|23|24|26|28
ENSG00000007372;0|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|20|22|23|24|26|28
ENSG00000007372;0|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|20|22|23|24|26|28
ENSG00000007372;0|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|20|22|23|24|26|28
ENSG00000007372;0|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|20|22|23|24|26|28
ENSG00000007372;0|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|20|22|23|24|26|28
ENSTRUG00000006935;0|1|2|3|4|6|7|8|9|10|12|14|15|17|18|20|22|23|24|26|28
