;transcript_4-7_ppan;transcript_4-10_ppan;transcript_4-11_ppan;transcript_4-18_ppan;transcript_4-22_ppan;transcript_4-25_ppan;transcript_4-27_ppan;transcript_4-29_ppan;transcript_5-7_ptro;transcript_5-10_ptro;transcript_5-11_ptro;transcript_5-18_ptro;transcript_5-22_ptro;transcript_5-25_ptro;transcript_5-27_ptro;transcript_5-29_ptro;transcript_6-7_hsap;transcript_6-10_hsap;transcript_6-11_hsap;transcript_7-7_ggor
transcript_4-7_ppan;1.0;0.986;0.974;0.986;0.974;0.974;0.988;0.974;1.0;0.986;0.974;0.986;0.974;0.974;0.988;0.974;1.0;0.986;0.974;1.0
transcript_4-10_ppan;0.986;1.0;0.988;1.0;0.988;0.988;0.974;0.988;0.986;1.0;0.988;1.0;0.988;0.988;0.974;0.988;0.986;1.0;0.988;0.986
transcript_4-11_ppan;0.974;0.988;1.0;0.988;1.0;1.0;0.986;1.0;0.974;0.988;1.0;0.988;1.0;1.0;0.986;1.0;0.974;0.988;1.0;0.974
transcript_4-18_ppan;0.986;1.0;0.988;1.0;0.988;0.988;0.974;0.988;0.986;1.0;0.988;1.0;0.988;0.988;0.974;0.988;0.986;1.0;0.988;0.986
transcript_4-22_ppan;0.974;0.988;1.0;0.988;1.0;1.0;0.986;1.0;0.974;0.988;1.0;0.988;1.0;1.0;0.986;1.0;0.974;0.988;1.0;0.974
transcript_4-25_ppan;0.974;0.988;1.0;0.988;1.0;1.0;0.986;1.0;0.974;0.988;1.0;0.988;1.0;1.0;0.986;1.0;0.974;0.988;1.0;0.974
transcript_4-27_ppan;0.988;0.974;0.986;0.974;0.986;0.986;1.0;0.986;0.988;0.974;0.986;0.974;0.986;0.986;1.0;0.986;0.988;0.974;0.986;0.988
transcript_4-29_ppan;0.974;0.988;1.0;0.988;1.0;1.0;0.986;1.0;0.974;0.988;1.0;0.988;1.0;1.0;0.986;1.0;0.974;0.988;1.0;0.974
transcript_5-7_ptro;1.0;0.986;0.974;0.986;0.974;0.974;0.988;0.974;1.0;0.986;0.974;0.986;0.974;0.974;0.988;0.974;1.0;0.986;0.974;1.0
transcript_5-10_ptro;0.986;1.0;0.988;1.0;0.988;0.988;0.974;0.988;0.986;1.0;0.988;1.0;0.988;0.988;0.974;0.988;0.986;1.0;0.988;0.986
transcript_5-11_ptro;0.974;0.988;1.0;0.988;1.0;1.0;0.986;1.0;0.974;0.988;1.0;0.988;1.0;1.0;0.986;1.0;0.974;0.988;1.0;0.974
transcript_5-18_ptro;0.986;1.0;0.988;1.0;0.988;0.988;0.974;0.988;0.986;1.0;0.988;1.0;0.988;0.988;0.974;0.988;0.986;1.0;0.988;0.986
transcript_5-22_ptro;0.974;0.988;1.0;0.988;1.0;1.0;0.986;1.0;0.974;0.988;1.0;0.988;1.0;1.0;0.986;1.0;0.974;0.988;1.0;0.974
transcript_5-25_ptro;0.974;0.988;1.0;0.988;1.0;1.0;0.986;1.0;0.974;0.988;1.0;0.988;1.0;1.0;0.986;1.0;0.974;0.988;1.0;0.974
transcript_5-27_ptro;0.988;0.974;0.986;0.974;0.986;0.986;1.0;0.986;0.988;0.974;0.986;0.974;0.986;0.986;1.0;0.986;0.988;0.974;0.986;0.988
transcript_5-29_ptro;0.974;0.988;1.0;0.988;1.0;1.0;0.986;1.0;0.974;0.988;1.0;0.988;1.0;1.0;0.986;1.0;0.974;0.988;1.0;0.974
transcript_6-7_hsap;1.0;0.986;0.974;0.986;0.974;0.974;0.988;0.974;1.0;0.986;0.974;0.986;0.974;0.974;0.988;0.974;1.0;0.986;0.974;1.0
transcript_6-10_hsap;0.986;1.0;0.988;1.0;0.988;0.988;0.974;0.988;0.986;1.0;0.988;1.0;0.988;0.988;0.974;0.988;0.986;1.0;0.988;0.986
transcript_6-11_hsap;0.974;0.988;1.0;0.988;1.0;1.0;0.986;1.0;0.974;0.988;1.0;0.988;1.0;1.0;0.986;1.0;0.974;0.988;1.0;0.974
transcript_7-7_ggor;1.0;0.986;0.974;0.986;0.974;0.974;0.988;0.974;1.0;0.986;0.974;0.986;0.974;0.974;0.988;0.974;1.0;0.986;0.974;1.0
