;transcript_3-2_FBgn0010417;transcript_3-19_FBgn0010417;transcript_3-20_FBgn0010417;transcript_3-40_FBgn0010417;transcript_3-46_FBgn0010417;transcript_7-2_ENSMUSG00000036980;transcript_7-19_ENSMUSG00000036980;transcript_7-20_ENSMUSG00000036980;transcript_8-2_ENSRNOG00000001355;transcript_8-19_ENSRNOG00000001355;transcript_8-20_ENSRNOG00000001355;transcript_10-2_ENSG00000106290;transcript_10-19_ENSG00000106290;transcript_10-20_ENSG00000106290;transcript_11-2_ENSPTRG00000019474;transcript_11-19_ENSPTRG00000019474;transcript_11-20_ENSPTRG00000019474;transcript_12-2_ENSDARG00000102998;transcript_12-19_ENSDARG00000102998;transcript_12-20_ENSDARG00000102998
transcript_3-2_FBgn0010417;1.0;0.457;0.633;0.989;0.447;1.0;0.457;0.633;1.0;0.457;0.633;1.0;0.457;0.633;1.0;0.457;0.633;1.0;0.457;0.633
transcript_3-19_FBgn0010417;0.457;1.0;0.09;0.462;0.978;0.457;1.0;0.09;0.457;1.0;0.09;0.457;1.0;0.09;0.457;1.0;0.09;0.457;1.0;0.09
transcript_3-20_FBgn0010417;0.633;0.09;1.0;0.622;0.091;0.633;0.09;1.0;0.633;0.09;1.0;0.633;0.09;1.0;0.633;0.09;1.0;0.633;0.09;1.0
transcript_3-40_FBgn0010417;0.989;0.462;0.622;1.0;0.452;0.989;0.462;0.622;0.989;0.462;0.622;0.989;0.462;0.622;0.989;0.462;0.622;0.989;0.462;0.622
transcript_3-46_FBgn0010417;0.447;0.978;0.091;0.452;1.0;0.447;0.978;0.091;0.447;0.978;0.091;0.447;0.978;0.091;0.447;0.978;0.091;0.447;0.978;0.091
transcript_7-2_ENSMUSG00000036980;1.0;0.457;0.633;0.989;0.447;1.0;0.457;0.633;1.0;0.457;0.633;1.0;0.457;0.633;1.0;0.457;0.633;1.0;0.457;0.633
transcript_7-19_ENSMUSG00000036980;0.457;1.0;0.09;0.462;0.978;0.457;1.0;0.09;0.457;1.0;0.09;0.457;1.0;0.09;0.457;1.0;0.09;0.457;1.0;0.09
transcript_7-20_ENSMUSG00000036980;0.633;0.09;1.0;0.622;0.091;0.633;0.09;1.0;0.633;0.09;1.0;0.633;0.09;1.0;0.633;0.09;1.0;0.633;0.09;1.0
transcript_8-2_ENSRNOG00000001355;1.0;0.457;0.633;0.989;0.447;1.0;0.457;0.633;1.0;0.457;0.633;1.0;0.457;0.633;1.0;0.457;0.633;1.0;0.457;0.633
transcript_8-19_ENSRNOG00000001355;0.457;1.0;0.09;0.462;0.978;0.457;1.0;0.09;0.457;1.0;0.09;0.457;1.0;0.09;0.457;1.0;0.09;0.457;1.0;0.09
transcript_8-20_ENSRNOG00000001355;0.633;0.09;1.0;0.622;0.091;0.633;0.09;1.0;0.633;0.09;1.0;0.633;0.09;1.0;0.633;0.09;1.0;0.633;0.09;1.0
transcript_10-2_ENSG00000106290;1.0;0.457;0.633;0.989;0.447;1.0;0.457;0.633;1.0;0.457;0.633;1.0;0.457;0.633;1.0;0.457;0.633;1.0;0.457;0.633
transcript_10-19_ENSG00000106290;0.457;1.0;0.09;0.462;0.978;0.457;1.0;0.09;0.457;1.0;0.09;0.457;1.0;0.09;0.457;1.0;0.09;0.457;1.0;0.09
transcript_10-20_ENSG00000106290;0.633;0.09;1.0;0.622;0.091;0.633;0.09;1.0;0.633;0.09;1.0;0.633;0.09;1.0;0.633;0.09;1.0;0.633;0.09;1.0
transcript_11-2_ENSPTRG00000019474;1.0;0.457;0.633;0.989;0.447;1.0;0.457;0.633;1.0;0.457;0.633;1.0;0.457;0.633;1.0;0.457;0.633;1.0;0.457;0.633
transcript_11-19_ENSPTRG00000019474;0.457;1.0;0.09;0.462;0.978;0.457;1.0;0.09;0.457;1.0;0.09;0.457;1.0;0.09;0.457;1.0;0.09;0.457;1.0;0.09
transcript_11-20_ENSPTRG00000019474;0.633;0.09;1.0;0.622;0.091;0.633;0.09;1.0;0.633;0.09;1.0;0.633;0.09;1.0;0.633;0.09;1.0;0.633;0.09;1.0
transcript_12-2_ENSDARG00000102998;1.0;0.457;0.633;0.989;0.447;1.0;0.457;0.633;1.0;0.457;0.633;1.0;0.457;0.633;1.0;0.457;0.633;1.0;0.457;0.633
transcript_12-19_ENSDARG00000102998;0.457;1.0;0.09;0.462;0.978;0.457;1.0;0.09;0.457;1.0;0.09;0.457;1.0;0.09;0.457;1.0;0.09;0.457;1.0;0.09
transcript_12-20_ENSDARG00000102998;0.633;0.09;1.0;0.622;0.091;0.633;0.09;1.0;0.633;0.09;1.0;0.633;0.09;1.0;0.633;0.09;1.0;0.633;0.09;1.0
