;transcript_1-1_YGL112C;transcript_7-1_ENSMUSG00000036980;transcript_8-1_ENSRNOG00000001355;transcript_10-1_ENSG00000106290;transcript_12-1_ENSDARG00000102998;transcript_11-1_ENSPTRG00000019474;transcript_1-20_YGL112C;transcript_12-26_ENSDARG00000102998;transcript_7-26_ENSMUSG00000036980;transcript_8-26_ENSRNOG00000001355;transcript_10-26_ENSG00000106290;transcript_11-26_ENSPTRG00000019474;transcript_1-12_YGL112C;transcript_10-25_ENSG00000106290;transcript_12-25_ENSDARG00000102998;transcript_11-25_ENSPTRG00000019474;transcript_7-25_ENSMUSG00000036980;transcript_8-25_ENSRNOG00000001355;transcript_1-18_YGL112C
transcript_1-1_YGL112C;1.0;1.0;1.0;1.0;1.0;1.0;0.991;0.991;0.991;0.991;0.991;0.991;0.99;0.99;0.99;0.99;0.99;0.99;0.981
transcript_7-1_ENSMUSG00000036980;1.0;1.0;1.0;1.0;1.0;1.0;0.991;0.991;0.991;0.991;0.991;0.991;0.99;0.99;0.99;0.99;0.99;0.99;0.981
transcript_8-1_ENSRNOG00000001355;1.0;1.0;1.0;1.0;1.0;1.0;0.991;0.991;0.991;0.991;0.991;0.991;0.99;0.99;0.99;0.99;0.99;0.99;0.981
transcript_10-1_ENSG00000106290;1.0;1.0;1.0;1.0;1.0;1.0;0.991;0.991;0.991;0.991;0.991;0.991;0.99;0.99;0.99;0.99;0.99;0.99;0.981
transcript_12-1_ENSDARG00000102998;1.0;1.0;1.0;1.0;1.0;1.0;0.991;0.991;0.991;0.991;0.991;0.991;0.99;0.99;0.99;0.99;0.99;0.99;0.981
transcript_11-1_ENSPTRG00000019474;1.0;1.0;1.0;1.0;1.0;1.0;0.991;0.991;0.991;0.991;0.991;0.991;0.99;0.99;0.99;0.99;0.99;0.99;0.981
transcript_1-20_YGL112C;0.991;0.991;0.991;0.991;0.991;0.991;1.0;0.982;0.982;0.982;0.982;0.982;0.987;0.987;0.987;0.987;0.987;0.987;0.978
transcript_12-26_ENSDARG00000102998;0.991;0.991;0.991;0.991;0.991;0.991;0.982;1.0;1.0;1.0;1.0;1.0;0.981;0.981;0.981;0.981;0.981;0.981;0.99
transcript_7-26_ENSMUSG00000036980;0.991;0.991;0.991;0.991;0.991;0.991;0.982;1.0;1.0;1.0;1.0;1.0;0.981;0.981;0.981;0.981;0.981;0.981;0.99
transcript_8-26_ENSRNOG00000001355;0.991;0.991;0.991;0.991;0.991;0.991;0.982;1.0;1.0;1.0;1.0;1.0;0.981;0.981;0.981;0.981;0.981;0.981;0.99
transcript_10-26_ENSG00000106290;0.991;0.991;0.991;0.991;0.991;0.991;0.982;1.0;1.0;1.0;1.0;1.0;0.981;0.981;0.981;0.981;0.981;0.981;0.99
transcript_11-26_ENSPTRG00000019474;0.991;0.991;0.991;0.991;0.991;0.991;0.982;1.0;1.0;1.0;1.0;1.0;0.981;0.981;0.981;0.981;0.981;0.981;0.99
transcript_1-12_YGL112C;0.99;0.99;0.99;0.99;0.99;0.99;0.987;0.981;0.981;0.981;0.981;0.981;1.0;1.0;1.0;1.0;1.0;1.0;0.991
transcript_10-25_ENSG00000106290;0.99;0.99;0.99;0.99;0.99;0.99;0.987;0.981;0.981;0.981;0.981;0.981;1.0;1.0;1.0;1.0;1.0;1.0;0.991
transcript_12-25_ENSDARG00000102998;0.99;0.99;0.99;0.99;0.99;0.99;0.987;0.981;0.981;0.981;0.981;0.981;1.0;1.0;1.0;1.0;1.0;1.0;0.991
transcript_11-25_ENSPTRG00000019474;0.99;0.99;0.99;0.99;0.99;0.99;0.987;0.981;0.981;0.981;0.981;0.981;1.0;1.0;1.0;1.0;1.0;1.0;0.991
transcript_7-25_ENSMUSG00000036980;0.99;0.99;0.99;0.99;0.99;0.99;0.987;0.981;0.981;0.981;0.981;0.981;1.0;1.0;1.0;1.0;1.0;1.0;0.991
transcript_8-25_ENSRNOG00000001355;0.99;0.99;0.99;0.99;0.99;0.99;0.987;0.981;0.981;0.981;0.981;0.981;1.0;1.0;1.0;1.0;1.0;1.0;0.991
transcript_1-18_YGL112C;0.981;0.981;0.981;0.981;0.981;0.981;0.978;0.99;0.99;0.99;0.99;0.99;0.991;0.991;0.991;0.991;0.991;0.991;1.0
